Name,playerid,WAR26
Freddy Garcia,1077,1.6
Brandon Lyon,1312,0.7
Juan Alvarez,1432,-0.3
Mike Gallo,1759,0.1
Clayton Mortensen,3166,-0.1
Eric Hacker,8743,0.0
Bobby Chouinard,1002204,0.2
Rich DeLucia,1003185,-0.3
Mike Draper,1003484,0.2
Brian Edmondson,1003677,-0.2
Frank Funk,1004406,-0.3
Mike Jackson,1006306,0.2
Felipe Lira,1007649,-0.2
Steve Mura,1009337,1.2
Dan Petry,1010246,2.9
Mel Stottlemyre,1012579,2.9
Brian Anderson,44,1.0
Jim Brower,313,-0.3
Billy Wagner,578,1.8
Valerio de los Santos,681,-0.1
Jaime Cerda,1532,0.0
Chris Capuano,1701,2.2
Chad Qualls,2170,0.7
Esmil Rogers,6317,1.1
Jack Egbert,7487,-0.1
Tom Griffin,1005054,2.1
Ricky Horton,1006036,1.1
Curt Kaufman,1006717,-0.3
Octavio Dotel,555,0.8
Jason Schmidt,1131,3.0
Ruddy Lugo,2710,0.6
Bryce Florie,1004172,0.4
Charlie Kerfeld,1006860,-0.1
John Morris,1009219,-0.6
Steve Stone,1012573,1.4
Chin-hui Tsao,1776,0.1
Greg Aquino,1899,0.0
Todd Coffey,2467,-0.7
Mike Thompson,2735,-0.2
Zach Kroenke,4383,-0.2
Pat Misch,5909,-0.1
Mike Bolsinger,11137,0.2
Jerry Augustine,1000365,1.0
Danny Cox,1002695,3.1
Storm Davis,1003080,2.1
Tom Dukes,1003545,-0.1
Brian Fisher,1004077,0.3
Dennis Kinney,1006946,-0.3
Andy McGaffigan,1008497,0.7
Brad Pennington,1010159,-0.2
Vern Ruhle,1011297,0.5
Al Severinsen,1011760,-0.3
Bob Sykes,1012798,-0.2
Bobby Jones,1039,1.9
Neal Cotts,1797,-0.5
Graham Godfrey,3128,0.2
Matt Capps,4788,1.1
Nick Masset,7267,0.1
Stephen Fife,8077,0.3
Ted Davidson,1003029,0.2
Hank Fischer,1004068,1.5
Jeff McCurry,1008440,-0.3
Frank Pastore,1010048,0.2
Victor Santos,446,-0.2
John Franco,874,1.5
Turk Wendell,975,0.6
Brandon Backe,1529,0.5
Brian Matusz,2646,1.0
Zack Britton,3240,1.0
Greg Smith,3455,-0.2
Matt Albers,4300,0.6
Rudy Owens,5226,-0.1
Brian Wilson,6485,0.6
Donnie Joseph,6491,-0.1
Lucas Harrell,7541,0.3
Paul Clemens,8037,-0.6
Doug Bair,1000439,0.0
Mike Jerzembeck,1006401,-0.2
Orlando Pena,1010150,0.3
Rich Robertson,1011044,0.0
Bryan Ward,1013603,0.1
Zach Putnam,9080,0.7
Keith Atherton,1000348,-0.4
Bruce Berenyi,1000864,2.2
Don Cardwell,1001941,1.4
Clay Christiansen,1002210,0.3
Larry Christenson,1002215,1.2
Jimmy Jones,1006569,-0.2
Johnny Kucks,1007196,-0.4
Jerry Reed,1010769,0.2
Josh Pearce,1175,0.0
Francisco Cordero,1243,0.0
Randy Messenger,2658,0.0
Pedro Baez,5420,0.1
Cory Gearrin,7947,0.2
Ron Bryant,1001608,0.3
Dave Eiland,1003714,0.2
Paul Fletcher,1004153,0.0
Ed Glynn,1004789,-0.4
Joey Jay,1006373,3.4
Jerry Koosman,1007103,5.4
Jose Pena,1010148,0.0
Curt Schilling,73,4.5
Calvin Maduro,151,0.8
Dustin Hermanson,195,4.0
Kent Mercker,439,1.6
Nick Bierbrodt,1194,-0.4
Tyler Yates,1527,0.2
Josh Stinson,3219,-0.2
Daisuke Matsuzaka,7775,2.9
Mike Crotta,9337,-0.2
Scott Bankhead,1000510,0.0
Tim Christman,1002224,0.0
John Cummings,1002874,0.2
Ken Dixon,1003331,-0.1
Jim Gantner,1004483,0.0
Ray Lamb,1007278,2.0
Eric Moody,1009080,0.1
Danny Murphy,1009354,0.2
Wally Whitehurst,1013896,0.8
Joe Nelson,108,-0.1
C.J. Nitkowski,570,0.5
George Kontos,9486,0.0
Sergio Romo,9817,1.1
Jose Bautista,1000694,-0.2
