Name,playerid,WAR30
Freddy Garcia,1077,0.2
Brandon Lyon,1312,1.1
Aquilino Lopez,1671,0.2
Mike Cuellar,1002853,5.1
Rich DeLucia,1003185,0.3
Steve Mura,1009337,0.2
Dan Petry,1010246,-0.6
Ed Roebuck,1011118,-0.6
Mel Stottlemyre,1012579,2.4
Brian Anderson,44,1.6
Jim Brower,313,0.6
Billy Wagner,578,1.7
Valerio de los Santos,681,-0.4
Willie Eyre,2078,0.2
Chad Qualls,2170,0.9
Devern Hansack,4939,0.1
Tom Griffin,1005054,-0.5
Ricky Horton,1006036,-0.2
Octavio Dotel,555,1.6
Jason Schmidt,1131,6.6
Bryce Florie,1004172,0.3
John Morris,1009219,-0.2
Steve Stone,1012573,2.2
Greg Aquino,1899,-0.1
Todd Coffey,2467,0.3
Aaron Rakers,2638,0.0
Yohan Pino,6955,0.9
Jerry Augustine,1000365,-0.4
Storm Davis,1003080,0.8
Brian Fisher,1004077,-0.1
Dennis Kinney,1006946,-0.1
Andy McGaffigan,1008497,2.0
Vern Ruhle,1011297,1.2
Bobby Jones,1039,1.0
Ron Meridith,1008782,-0.5
Ben Weber,41,0.6
Victor Santos,446,-0.8
John Franco,874,1.3
Turk Wendell,975,-0.2
Brandon Backe,1529,-0.4
Matt Albers,4300,0.3
Steve Tolleson,4450,0.0
Brian Wilson,6485,0.0
Bob Babcock,1000394,-0.1
Doug Bair,1000439,0.1
Charlie Leibrandt,1007492,4.4
Orlando Pena,1010150,1.3
Matt Bush,1246,1.6
Keith Atherton,1000348,-0.6
Bruce Berenyi,1000864,0.2
Don Cardwell,1001941,0.1
Dick Hughes,1006152,0.1
Gerry Pirtle,1010368,-1.1
Jerry Reed,1010769,0.4
Francisco Cordero,1243,1.4
Cory Gearrin,7947,0.5
Ed Glynn,1004789,0.0
Joey Jay,1006373,0.6
Jerry Koosman,1007103,4.4
Curt Schilling,73,8.2
Dustin Hermanson,195,0.1
Kent Mercker,439,2.3
Tyler Yates,1527,0.4
Daisuke Matsuzaka,7775,0.2
Rick Anderson,1000241,-0.2
Scott Bankhead,1000510,0.2
Wally Whitehurst,1013896,0.6
C.J. Nitkowski,570,0.0
George Kontos,9486,-0.2
Sergio Romo,9817,1.0
Jose Bautista,1000694,-1.6
Pat Clements,1002339,0.2
Jim Gott,1004898,-0.1
Al Hrabosky,1006116,-0.7
Claude Osteen,1009878,3.1
Tom Seaver,1011708,7.8
Mike Stanton,1012421,1.1
Jae Seo,895,-0.2
Don Carman,1001967,-0.9
Jim Coates,1002374,0.0
Rawly Eastwick,1003648,0.3
Jim Kern,1006868,4.7
Jim Maloney,1008039,-0.5
Bob Shaw,1011819,1.7
Sidney Ponson,161,-0.2
Ron Villone,1010,0.2
Andrew Albers,7853,-0.2
Jim Clancy,1002255,3.1
Ron Guidry,1005124,2.8
Jack Kralick,1007135,0.6
Paul Reuschel,1010851,0.7
Mike Magnante,929,0.1
Jamie Moyer,1091,3.2
Tony Watson,3132,1.3
Sam Freeman,6832,0.6
Jake McGee,7550,1.6
Ugueth Urbina,216,0.1
Lance Painter,1675,-0.2
Brad Ziegler,7293,0.1
Craig Lefferts,1007476,0.6
Brian Williams,1013978,0.3
Joe Mays,740,-0.5
Mitch Maier,5588,0.0
Al Fitzmorris,1004119,3.7
Danny Jackson,1006295,2.8
Joe Niekro,1009582,0.8
Mike Proly,1010545,-0.3
Bill Sampen,1011395,-0.1
Scott Sanders,1011423,-0.1
Mark Williamson,1014022,0.7
Miguel Batista,46,1.3
Todd Williams,805,0.0
Terry Adams,946,1.5
Gavin Floyd,3886,0.2
Ryan Webb,7474,0.0
Hank Aguirre,1000087,-0.2
Dennis Eckersley,1003660,4.3
John Hiller,1005817,2.8
Dave Martinez,1008160,0.0
Gaylord Perry,1010210,5.9
Carl Willis,1013979,1.4
Rick Wise,1014155,3.1
Mike Stanton,849,1.4
Charlie Morton,4676,1.3
Logan Kensing,6166,0.0
Tom Gorzelanny,6244,0.5
Joakim Soria,6941,1.5
Jim Bouton,1001241,0.6
Kelly Downs,1003453,-0.4
Todd Frohwirth,1004374,0.3
Al Jackson,1006288,2.9
Geoff Zahn,1014410,0.2
Matt Ginter,233,0.3
Jon Lieber,287,4.4
Dave Borkowski,2002,0.1
Dana Eveland,5508,0.2
Don Drysdale,1003516,4.3
Buck Martinez,1008156,0.0
Bob Patterson,1010055,0.2
Tim Scott,1011694,0.0
Rich Thompson,1013022,0.0
Ed Whitson,1013911,2.0
Jose Cabrera,679,0.4
Josh Towers,1489,0.6
Darren O'Day,3321,0.7
Fernando Arroyo,1000327,-0.4
Tim Crews,1002765,0.5
Mike Kekich,1006764,-0.1
Rich Garces,189,0.5
Gary Glover,234,-0.2
Jason Isringhausen,1158,0.9
Junior Guerra,5702,0.0
David Phelps,6316,0.6
John Smoltz,115,6.7
Jason Boyd,1020,0.1
Chad Billingsley,5842,0.2
Glen Perkins,8041,1.8
J.R. Richard,1010913,3.8
Dick Tidrow,1013056,0.5
Mike Morgan,67,2.1
Jeremy Affeldt,583,0.5
Jason Frasor,1906,-0.1
Wesley Wright,5960,-0.1
Steve Delabar,11827,-0.4
Terry Francona,1004292,0.0
Catfish Hunter,1006199,3.9
Kirt Ojala,1009755,0.0
Earl Stephenson,1012492,0.0
Joe Borowski,267,-0.1
Dennys Reyes,444,-0.1
Julian Tavarez,541,1.1
Al Leiter,883,3.4
Doyle Alexander,1000122,1.6
Larry McWilliams,1008700,2.9
Randy Moffitt,1009027,-0.6
Scott Ruskin,1011309,-0.3
Ron Taylor,1012885,0.5
Paul Wilmet,1014055,0.0
Bobby Jones,1454,-0.2
Aaron Heilman,1751,0.3
Corey Kluber,2429,5.0
Bo Schultz,5028,-0.1
Greg Burke,6282,0.1
J.J. Putz,1795,2.1
Shane Robinson,4249,0.0
Danny Farquhar,8501,0.4
Grant Jackson,1006298,0.7
Dorn Taylor,1012866,0.0
Paul Wagner,1013490,-0.3
Troy Percival,29,0.2
Mike Porzio,252,0.2
Sean Lowe,994,1.6
Chad Gaudin,1783,1.0
Steve Cishek,6483,1.0
Ryan Buchter,9456,0.2
Darren Hall,1005240,0.0
Kent Tekulve,1012905,1.3
Armando Reynoso,72,1.4
Juan Cruz,273,-0.1
Mark Wohlers,414,0.0
Dan Giese,2656,-0.4
Wade Davis,7441,1.4
