Name,playerid,real,pred
Scott Schoeneweis,33,-0.4,0.13
Scot Shields,35,0.6,0.55
Jarrod Washburn,40,1.5,1.05
Matt Wise,42,-0.1,0.22
Miguel Batista,46,-1.3,3.58
Randy Johnson,60,3.6,1.6
Tom Glavine,90,-0.6,0.6
Greg Maddux,104,2.4,4.21
Kevin Millwood,106,3.2,4.47
Horacio Ramirez,110,0.4,1.0
John Smoltz,115,1.0,4.53
Dan Wheeler,120,0.3,0.47
Erik Bedard,126,1.0,4.1
Jorge Julio,148,0.1,0.18
Sidney Ponson,161,0.9,0.5
B.J. Ryan,168,0.8,0.5
Casey Fossum,188,0.2,0.12
Derek Lowe,199,4.3,3.3
Darren Oliver,206,0.9,0.44
Tim Wakefield,219,1.0,0.5
Mark Buehrle,225,4.3,3.81
Jon Garland,232,1.3,2.41
Bob Howry,237,0.2,1.31
Damaso Marte,247,1.4,0.69
Joe Borowski,267,-0.4,0.5
Juan Cruz,273,0.5,0.66
Kyle Farnsworth,278,-0.7,0.71
Tom Gordon,282,0.0,0.2
Ron Mahay,290,0.4,0.45
Will Ohman,296,0.8,0.33
Kerry Wood,304,2.1,0.12
Carlos Zambrano,305,2.8,4.08
Elmer Dessens,317,-0.2,0.4
Chad Paronto,399,0.0,0.4
David Riske,402,-0.4,0.35
CC Sabathia,404,7.4,2.45
Billy Traber,410,-0.2,-0.05
Jake Westbrook,412,0.3,2.32
Shawn Chacon,424,-0.1,0.29
Brian Fuentes,429,2.5,0.34
Jason Jennings,434,-0.5,1.44
Todd Jones,436,-0.5,0.42
Dennys Reyes,444,0.4,0.4
Justin Speier,451,-0.9,1.34
Brian Moehler,480,1.4,0.91
Fernando Rodney,494,0.3,-0.07
Jamie Walker,502,-1.0,0.35
Josh Beckett,510,4.3,2.06
A.J. Burnett,512,5.0,3.06
Ryan Dempster,517,4.7,0.6
Jason Grilli,521,1.0,0.71
Braden Looper,526,1.4,0.5
Brad Penny,535,0.0,4.66
Doug Brocail,551,0.7,0.5
Octavio Dotel,555,0.7,-0.09
Brad Lidge,563,2.2,0.23
Scott Linebrink,564,0.5,0.56
Roy Oswalt,571,3.7,5.03
Billy Wagner,578,1.2,0.5
Jeremy Affeldt,583,0.4,0.01
Paul Byrd,594,0.7,0.6
Mike MacDougal,612,0.1,0.52
Brian Shouse,630,0.4,0.5
Jeff Suppan,633,0.0,4.31
Eric Gagne,650,-0.9,1.0
Odalis Perez,668,1.4,1.1
Ray King,693,-0.2,0.0
Ben Sheets,710,4.7,3.85
Luis Vizcaino,714,0.0,0.3
Jamey Wright,715,0.6,0.61
Eddie Guardado,727,0.7,0.35
LaTroy Hawkins,729,0.8,0.24
Kyle Lohse,739,2.8,3.73
Juan Rincon,752,-0.4,-0.15
J.C. Romero,754,-0.2,0.29
Johan Santana,755,5.3,3.78
Tony Armas Jr.,761,0.0,0.41
Scott Downs,773,1.0,0.78
Javier Vazquez,801,4.9,2.47
Ted Lilly,833,2.8,1.79
Mike Mussina,837,3.6,2.53
Andy Pettitte,840,3.3,4.2
Mariano Rivera,844,3.0,1.1
Armando Benitez,865,-0.2,0.5
Tyler Walker,901,0.2,0.51
David Weathers,902,0.0,0.5
Chad Bradford,904,0.4,0.95
Justin Duchscherer,910,2.5,0.25
Tim Hudson,921,1.9,2.32
Barry Zito,944,1.3,1.88
Brandon Duckworth,954,0.4,0.4
Vicente Padilla,964,1.5,1.55
Carlos Silva,973,1.4,1.67
Randy Wolf,976,2.6,0.9
Bronson Arroyo,978,2.2,3.34
Joe Beimel,979,0.5,0.71
Josh Fogg,989,-0.6,1.5
Ron Villone,1010,-0.2,0.5
Kip Wells,1012,-0.2,0.5
Adam Eaton,1029,0.3,0.79
Alan Embree,1030,0.0,0.79
Trevor Hoffman,1035,0.4,0.56
Jake Peavy,1051,3.7,5.57
Brett Tomko,1056,0.5,1.43
Ryan Franklin,1076,-0.4,0.0
Freddy Garcia,1077,0.0,0.4
Gil Meche,1089,4.2,2.61
Jamie Moyer,1091,2.5,3.28
Joel Pineiro,1094,0.6,0.42
Rafael Soriano,1100,0.1,1.06
Jason Isringhausen,1158,-0.3,0.98
Matt Morris,1172,-0.4,2.69
Mike Timlin,1187,-0.5,0.25
Jesus Colome,1198,0.2,0.24
Bobby Seay,1225,1.0,0.43
Jorge Sosa,1228,-0.3,0.55
Francisco Cordero,1243,0.7,1.25
Doug Davis,1244,2.3,2.68
Kenny Rogers,1277,0.9,0.5
Rudy Seanez,1279,0.2,0.05
Scott Eyre,1300,0.6,0.49
Roy Halladay,1303,6.6,2.99
Brandon Lyon,1312,0.7,1.7
Joaquin Benoit,1437,-0.2,0.22
Bryan Corey,1439,-0.3,0.24
Brendan Donnelly,1441,-0.2,-0.05
Randy Flores,1446,-0.3,0.75
Aaron Harang,1451,1.4,5.68
Guillermo Mota,1467,0.1,0.45
Jon Rauch,1475,0.9,1.21
John Lackey,1507,1.4,3.24
Oliver Perez,1514,1.6,2.27
Kirk Saarloos,1516,0.2,0.02
Tyler Yates,1527,0.4,0.46
Brandon Backe,1529,-0.4,0.79
Micah Bowie,1561,0.0,0.52
Aaron Cook,1571,4.7,1.76
Mark Hendrickson,1574,1.0,0.5
Clay Condrey,1579,0.2,0.5
Jason Davis,1598,0.1,0.3
Pedro Feliciano,1601,-0.1,1.37
Nate Robertson,1620,1.1,1.3
Cliff Lee,1636,6.8,1.27
