Name,playerid,real,pred
Ramon Ortiz,27,0.2,0.5
Scott Schoeneweis,33,0.2,0.53
Jarrod Washburn,40,1.9,2.49
Byung-Hyun Kim,61,2.4,0.5
Mike Koplove,63,0.1,0.5
Mike Myers,68,0.2,0.04
John Patterson,71,1.0,4.25
Tom Glavine,90,2.9,4.16
Kevin Gryboski,91,-0.4,0.07
Chris Hammond,92,0.2,-0.4
Greg Maddux,104,4.3,3.13
Jason Marquis,105,-0.5,0.99
Kevin Millwood,106,4.3,1.46
Horacio Ramirez,110,0.9,0.5
Mike Remlinger,111,0.2,-0.4
John Smoltz,115,5.5,3.39
Rick Bauer,125,0.7,0.39
Jason Johnson,147,0.8,3.8
Jorge Julio,148,0.4,0.88
Rodrigo Lopez,150,1.7,1.32
Sidney Ponson,161,0.5,1.25
B.J. Ryan,168,2.7,0.5
Rafael Betancourt,177,0.8,1.15
Casey Fossum,188,0.4,0.5
Dustin Hermanson,195,-0.1,0.5
Sun-Woo Kim,197,-0.3,0.66
Derek Lowe,199,4.4,2.11
Pedro Martinez,200,2.3,4.91
Tim Wakefield,219,1.2,1.41
Mark Buehrle,225,1.7,3.92
Keith Foulke,231,0.1,0.43
Jon Garland,232,3.6,1.06
Damaso Marte,247,0.6,0.21
Antonio Alfonseca,260,-0.3,0.42
Joe Borowski,267,0.7,-0.26
Matt Clement,271,0.2,3.04
Juan Cruz,273,1.6,0.43
Kyle Farnsworth,278,1.1,1.39
Ron Mahay,290,0.3,-0.15
Mark Prior,301,-0.2,6.27
Kerry Wood,304,-0.1,0.9
Carlos Zambrano,305,3.9,5.23
Elmer Dessens,317,0.6,0.5
Danny Graves,326,-0.3,0.64
Chris Reitsma,348,-0.7,0.59
Scott Williamson,361,0.3,0.5
Danys Baez,367,0.9,0.35
Bartolo Colon,375,0.3,2.3
Ryan Drese,379,0.1,1.93
Ricardo Rincon,401,-0.2,0.63
David Riske,402,0.0,0.1
CC Sabathia,404,5.0,4.5
Jake Westbrook,412,3.6,2.7
Jaret Wright,415,2.4,0.3
Shawn Chacon,424,-1.1,1.0
Brian Fuentes,429,0.9,1.12
Jason Jennings,434,4.2,2.14
Kent Mercker,439,-0.4,0.5
Dennys Reyes,444,0.9,-0.02
Victor Santos,446,0.9,1.2
Justin Speier,451,1.0,0.36
John Thomson,453,0.4,1.63
Rick White,456,0.1,0.5
Adam Bernero,460,0.4,0.2
Mark Redman,491,1.2,2.59
Jamie Walker,502,0.5,0.5
Jeff Weaver,503,0.3,0.8
Josh Beckett,510,1.0,4.97
Ryan Dempster,517,0.9,0.91
Braden Looper,526,1.1,0.55
Brad Penny,535,3.6,3.43
Octavio Dotel,555,-0.2,0.58
Wayne Franklin,557,-0.2,0.31
Brad Lidge,563,1.1,1.2
Scott Linebrink,564,1.0,0.95
Wade Miller,568,-0.1,0.72
Roy Oswalt,571,6.1,5.07
Billy Wagner,578,1.9,2.29
Jeremy Affeldt,583,-0.5,0.5
Nate Field,599,0.0,-0.08
Jason Grimsley,602,0.0,0.5
Roberto Hernandez,605,0.3,0.5
Mike MacDougal,612,0.7,0.3
Brian Shouse,630,-0.2,0.38
Jeff Suppan,633,1.9,2.77
Giovanni Carrara,643,0.1,0.5
Odalis Perez,668,1.3,0.5
Mike DeJean,682,0.0,0.5
Ray King,693,-0.2,0.59
Glendon Rusch,707,-0.9,2.3
Ben Sheets,710,4.0,2.73
Luis Vizcaino,714,0.6,0.6
Jamey Wright,715,0.8,1.15
Eddie Guardado,727,-0.3,-0.4
LaTroy Hawkins,729,0.7,0.21
