"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","Cluster"
"Tony Watson","   3132","-0.3","0.6","0.6","1.3","1.3","-0.1","0.1","1.8","A"
"Ugueth Urbina","    216","0.9","0.8","2.2","2.2","1.2","1.3","1.3","0.1","F"
"Brad Ziegler","   7293","0.5","1.1","0.1","1","0.6","0.5","0","0.7","A"
"Craig Lefferts","1007476","0.1","1.4","0.3","0.8","-0.2","0.6","0.6","0.5","A"
"Koji Uehara","   9227","1.8","1.3","1.2","0.8","3.1","1.1","1.4","0.6","C"
"Al Fitzmorris","1004119","0","1.3","0","1.4","2.3","2.6","3.7","1.2","D"
"Whitey Ford","1004227","2.5","5.8","4.9","5.2","6.8","4.6","0.5","0.8","M"
"Danny Jackson","1006295","0.7","4.6","2.9","4.3","5.2","0.9","1.7","-0.5","L"
"Joe Niekro","1009582","2","-0.1","1.6","1.6","0.2","0.8","0.1","0.8","A"
"Miguel Batista","     46","0","0.7","2","-0.9","1.3","3.1","4.3","1.6","D"
"Terry Adams","    946","0.8","1","0.5","0.3","0.8","4.3","1.9","1.5","E"
"Gavin Floyd","   3886","-0.6","-0.1","2.3","4","4.2","3.1","1.9","0.6","G"
"Hank Aguirre","1000087","2.1","-0.2","5.2","2.6","1.8","2.4","0.4","0.5","F"
"Dennis Eckersley","1003660","2.8","4.6","4.6","3.9","4.4","2.9","3.2","3.1","M"
"John Hiller","1005817","1.6","1","0.5","0.9","0.2","2.8","3","1.6","D"
"Gaylord Perry","1010210","0.5","-0.3","3.6","2.3","7.3","5.6","5.5","5.9","K"
"Rick Wise","1014155","0","1.9","3.4","2","3.7","3.8","4.6","4.8","H"
"Mike Stanton","    849","0.8","0.1","0.3","0.3","-0.1","0.7","1.4","0.1","A"
"Charlie Morton","   4676","0","1.6","-0.3","2","0.4","1.4","1.3","0.7","C"
"Tom Gorzelanny","   6244","1","3.1","-0.7","0.7","1.8","0.7","0.1","0.5","B"
"Joakim Soria","   6941","2.1","1.3","1.6","1.9","0.9","1.5","0.4","0.2","B"
"Jim Bouton","1001241","1.6","3.6","2.4","0","0.9","-0.2","0","0.6","B"
"Kelly Downs","1003453","1.7","3.3","2.9","0.9","1","-0.4","0.6","0","B"
"Al Jackson","1006288","4","1.3","2","2.3","2.9","0.7","1.4","-0.6","F"
"Geoff Zahn","1014410","1.6","0.7","2","3.4","2.7","3.6","1.1","3.5","G"
"Jon Lieber","    287","1.7","1.2","1.4","3.2","2.6","4.5","4.4","4.4","H"
"Don Drysdale","1003516","6.2","3.5","6.5","5.8","6.9","3.4","4.1","4.3","M"
"Jim McGlothlin","1008532","0.3","3.1","1.7","2.1","1.4","1.6","0.4","-1.1","B"
"Bob Patterson","1010055","1.2","0.2","1.1","0.7","-0.3","0.3","0.1","0.7","A"
"Ed Whitson","1013911","0.5","1.2","3.2","0.7","1.1","-0.1","2.6","2","D"
"Darren O'Day","   3321","0.3","1.3","1.1","1.5","0.7","0.9","1.8","0.1","B"
"Mike Kekich","1006764","0.3","0.5","0","0.8","0.2","-0.5","-0.1","-0.3","A"
"Jason Isringhausen","   1158","1.5","2.1","0.1","0.9","1.8","2.5","0.9","1.7","E"
"Terry Leach","1007427","0.1","0.5","0.7","1","0.3","-0.1","1.5","0.9","A"
"John Smoltz","    115","-0.4","4","3.6","3.7","5","3.9","2.1","4.6","I"
"Chad Billingsley","   5842","0.7","2.2","3.9","2.7","4.1","2.6","3","0.2","L"
"J.R. Richard","1010913","1.8","0.5","2.3","3.3","5","6.4","8.9","3.8","K"
"Dick Tidrow","1013056","2.5","2.5","2.4","0.1","1.5","0.5","2.2","0.7","B"
"Mike Morgan","     67","-0.2","0.9","-0.1","2.5","3.1","0.5","2.5","2.1","D"
"Jeremy Affeldt","    583","0.9","2.5","1","0.3","-0.5","0.4","0.4","0.5","B"
"Jason Frasor","   1906","0.8","0.6","0.2","1","-0.1","1.4","0.9","0.1","A"
"Bill Gullickson","1005136","3.2","4.8","2.8","3.4","1.8","3","3.2","1.1","J"
"Steve Howe","1006107","1.7","0.7","2","2.2","0.2","0.5","1.2","-0.2","F"
"Catfish Hunter","1006199","0.3","1.8","5.2","1.4","1.3","3.1","3.2","4.5","H"
"Clay Kirby","1006960","0.6","-0.1","4.4","1.6","0.4","4.1","-0.4","-0.8","F"
"Dennys Reyes","    444","0.5","1.2","0.9","0","0.5","0.2","1.1","-0.2","A"
"Julian Tavarez","    541","-0.1","1.6","0.9","0","0.3","-0.3","1.5","2.2","A"
"Al Leiter","    883","0.5","0.3","0.9","2.5","3","3.4","1.3","4.8","H"
"Doyle Alexander","1000122","0.9","1.1","0.8","0.6","1.2","1.3","1.7","1.4","D"
"Larry McWilliams","1008700","0.7","1.1","0.5","0.9","2.6","4.3","2.9","0.1","E"
"Randy Moffitt","1009027","-0.1","0.7","0.2","-0.4","0.2","1.1","0.3","-0.6","A"
"Ron Taylor","1012885","-0.1","2.1","-0.2","0","0.2","0.9","0.5","0","A"
"Aaron Heilman","   1751","-0.5","2.1","1.7","0.9","-0.4","0.3","-0.1","-0.4","B"
"J.J. Putz","   1795","-0.2","-0.1","3.4","2.1","0.6","1.5","1.4","1.4","F"
"Grant Jackson","1006298","1.1","0.6","4.3","1.5","1.1","0.9","0.7","0.7","F"
"Troy Percival","     29","2.4","2.3","1.1","1.7","0.6","0.2","2.2","1.6","B"
"Chad Gaudin","   1783","0.2","0.3","0.1","1.8","0.7","1.9","-1","0.2","C"
"Mat Latos","   3815","0.3","4.3","4.1","2.7","5","1.8","1.6","0.2","L"
"Steve Cishek","   6483","1","0.8","1.5","2.3","0.1","1","0.7","0.9","C"
"Kent Tekulve","1012905","0.3","1.7","1.3","1.4","2.1","0","1.2","0.6","C"
"Armando Reynoso","     72","2","0.3","0.7","1.4","1","0.7","1.4","2.1","D"
"Juan Cruz","    273","0.9","0.1","0.7","0.5","-0.2","1.6","0.6","0.5","A"
"Mark Wohlers","    414","0.3","0.8","1","2.6","2.2","1.8","0.3","0.4","C"
"Ben Sheets","    710","1.3","3.8","3.8","8","3.7","4","2.5","4.7","I"
"Wade Davis","   7441","1","1.1","1.4","1","1.5","3.1","2","1.4","E"
"Lindy McDaniel","1008441","2.6","0.7","1.3","0.6","1.6","0.5","1.9","0.4","B"
"Pedro Ramos","1010681","4.5","3.2","0.6","2.4","2.4","0.8","0.4","-0.4","B"
"Mike Witt","1014174","1.6","3.8","0.7","5.9","4.7","6.7","4","4.4","K"
"Juan Acevedo","    458","-0.1","-0.2","1.3","-0.3","0.1","0.1","0.9","-0.2","A"
"Jamie Walker","    502","-0.2","-0.2","0.3","1","0.3","0.5","0.8","-1","A"
"Kenley Jansen","   3096","1.6","2.2","2.5","2.2","1.6","3.1","3.4","0.3","E"
"Roberto Hernandez","   3273","0.4","3.3","0.6","0.2","3","1.5","0","0.1","B"
"Woodie Fryman","1004381","3","0.3","2.9","3","2.4","3.1","2.7","1.7","G"
"Dave LaRoche","1007354","0","1","0.1","-0.3","-0.1","1.3","2.6","0.3","A"
"Erik Bedard","    126","2.4","3.4","4.6","5","1","2","2.1","1.4","J"
"Josh Fogg","    989","0.8","0.6","1.7","0.5","1.7","1.3","-0.6","-0.1","C"
"Chan Ho Park","   1267","1.1","2.1","3.7","1.2","3.9","4.3","1","-0.3","E"
"Kenny Rogers","   1277","0.8","1.3","-0.5","1.1","3.6","2.5","3","2.2","D"
"Gary Lavelle","1007389","0","0.1","3","0.9","1.3","0.9","0.7","1.3","F"
"Sparky Lyle","1007859","0.6","0.8","1.3","0.6","0.2","1.5","1.5","2","D"
"Andrew Miller","   6785","0.3","1.9","0.7","-0.4","-0.1","0.5","0.3","2.2","A"
"Shane Rawley","1010719","0.9","1.9","1.6","0.9","3.2","3.2","1.6","1.6","E"
"Kevin Appier","      3","3.2","4.7","4.8","6.8","4","5.3","6.3","5.2","O"
"Scot Shields","     35","0.2","2.4","2.1","2.2","1.6","0.8","0.6","-0.5","B"
"Luis Vizcaino","    714","-0.2","1.5","-0.5","0.4","0.3","0.6","0.3","0","A"
"Charlie Hough","1006050","0.3","-0.5","-0.3","-0.4","0.5","0","0","0.2","A"
"Ben McDonald","1008454","1.8","1.3","2","4.5","3","1","4.2","3","H"
"Steve Barber","1000530","1.7","3.5","2.3","5.4","1.1","2.9","2.6","0.6","L"
"Steve Crawford","1002749","0.3","-0.2","-0.2","1.6","0.4","-0.6","0.4","0.4","A"
"Ed Farmer","1003935","-0.2","-0.9","-0.2","-0.3","1.9","0.1","-0.3","0.4","A"
"Teddy Higuera","1005799","3","5.1","6.7","5.9","2.2","3","1.1","0.3","M"
"Jim Palmer","1009973","0.6","2","-0.1","3.7","6.2","4.6","4.4","4.6","N"
"Matt Belisle","   1837","0.4","0","2.4","0","2","1.2","1.8","1.3","D"
"Curt Simmons","1011980","2.5","3.9","2.4","5.1","3","2.7","0.6","0.5","L"
"Denny Neagle","    441","-0.1","0.4","1.8","4.2","3.4","5.2","3.1","0.3","G"
"Hideo Nomo","    666","5.2","4.4","3.4","1.4","2.1","2.1","3","2.9","J"
"Rick Reed","    750","0.6","0.4","1.1","3.6","3","1.5","2.6","3.3","G"
"Kirk Rueter","   1128","1.4","1","1","0.9","3","0.9","1.4","1.2","C"
"Brett Cecil","   2660","0.3","2.5","0.5","0.1","0.9","1.2","1.3","0.4","B"
"Fernando Salas","   4971","0","0.9","0.3","0.6","0.7","0.1","0.3","-0.1","A"
"Doc Medich","1008714","3.5","3.4","3.7","2.7","1.8","2.4","1.9","3.2","J"
"Bruce Sutter","1012743","1.9","5.2","2.3","4.8","1.9","1.1","0.2","0.5","L"
"Danny Darwin","1002996","1","2.5","1.7","1","3.2","3.7","1.3","3.2","E"
"Pat Jarvis","1006363","2","2.2","4.3","1.8","5.5","1.3","0.8","-0.4","L"
"George Stone","1012565","0.3","1.3","2.8","2.7","-0.2","1.7","0.2","0.5","F"
"Damaso Marte","    247","0.2","1.6","2.5","0.5","0.2","0.6","1","1.4","B"
"Jake Westbrook","    412","0.8","0.1","1","3","2.9","3.6","1.7","0.3","G"
"Jose Lima","    475","0.9","0.6","0.4","2.7","4.7","-0.1","-0.2","0","C"
"Ryan Dempster","    517","-0.3","0.7","3.4","2.2","1.4","0.7","1.8","0.9","F"
"Dave Burba","   1239","-0.2","0.5","0.1","0.6","1.2","2.3","1.1","1.8","D"
"Glenn Abbott","1000010","1.5","0.3","0.4","1.5","1.2","0.2","2.5","1.4","D"
"Mike Henneman","1005656","1.9","1.3","0.5","1.2","1.8","1.2","1.2","0","C"
"Alejandro Pena","1010140","-0.2","4.1","4.7","0.4","0.8","1.7","1.1","1.3","J"
"Paul Splittorff","1012346","3.7","3.9","4.1","1.4","2","0.9","3.7","2.9","J"
"Todd Jones","    436","-0.1","1.4","0.4","-0.4","1.8","0.3","0.8","1.4","A"
"Orlando Hernandez","    823","3.4","3.4","2.4","0.1","3.1","1.7","1.3","2.7","J"
"Joel Pineiro","   1094","2","2.5","3.5","1.8","1.8","0.4","0.4","0.6","F"
"Ken Brett","1001402","0","2","0.2","0.7","2.6","4","0.7","3.3","E"
"Matt Cain","   4732","0.7","3.8","4.1","3.7","3.3","4","4.5","3.2","I"
"Xavier Hernandez","1005715","-0.8","0.4","1.1","2.1","-0.1","0.9","0","-0.1","A"
"John Smiley","1012084","-0.1","3.5","2.2","1.9","3.4","5","0.8","2.6","E"
"John Tudor","1013215","1.8","0.2","3.5","1.8","2.5","6.4","2.1","0.9","G"
"Neftali Feliz","     18","1.1","2","1","0.6","-0.2","0.4","-0.1","-0.6","B"
"Matt Herges","    780","1.5","0.5","-0.2","1.6","0","0.3","0.4","0.5","A"
"Wade Miley","   8779","-0.1","3.9","1.6","1.2","2.7","1.7","0.6","1.4","E"
"Juan Agosto","1000084","0.9","0","0.7","-0.6","0.2","0","-0.4","0.6","A"
"Richard Dotson","1003424","1.5","1.3","2.4","2.9","2","0.8","2.1","2.4","D"
"Ramon Ortiz","     27","0.6","0.7","2.3","1.6","0.8","0.8","0.3","0.2","F"
"Gil Heredia","1005686","0.2","-0.2","1","1.3","2.4","0.3","1","4.2","D"
"Roger McDowell","1008475","0.9","1.4","0","0.8","0.4","0.8","0.1","0.1","A"
"A.J. Burnett","    512","0.6","0.9","1.4","4.8","2.9","5","2.9","2.3","G"
"Tommy Hunter","   1157","1.7","1","0.5","-0.4","0.7","0.7","0.3","0.6","A"
"Luke Gregerson","   4090","2.1","1.3","0.6","0.6","1.2","0.9","1.1","1.1","B"
"Ted Abernathy","1000020","0.5","0","1.2","-0.6","1.8","-0.7","0","0.3","A"
"Wade Blasingame","1001057","-0.3","0.7","0.6","0.1","0","-0.2","1.9","1.9","A"
"Ron Davis","1003075","1.3","1.1","1.6","0","2.1","0","0.7","-0.8","B"
"Jeff Parrett","1010019","0.1","-0.5","1.4","0.2","0.8","0.5","0.5","0.9","A"
"Sammy Stewart","1012528","-0.3","0.5","-0.1","1.5","1.5","0.3","-0.3","-0.5","A"
"Josh Tomlin","   9388","0.7","2.1","0.3","0.9","0.5","1","2.1","-1.4","B"
"Mike Myers","     68","1.1","-0.5","0","0","0.9","0.6","0.3","-0.3","A"
"Vicente Romo","1011177","0.4","1.7","0.8","0.4","0.3","-0.9","-0.9","0.5","A"
"Dave Schmidt","1011580","0.3","2.5","0.6","1.5","1.2","0.9","2.2","0.7","B"
"Mike Torrez","1013134","0.4","1.6","-0.4","2.2","1","2.4","2.4","3.3","D"
"Jaime Garcia","   8137","2.4","3.2","2.6","0.5","0.4","2.8","1.1","1.9","E"
"Bill Castro","1002077","0.9","0","-0.1","0.3","0.5","1.2","0.3","-0.1","A"
"Reggie Cleveland","1002347","3.5","3.5","4.3","1.5","1.6","2.6","2.7","1","J"
"Dick Drago","1003475","2.5","3.8","4.7","2.9","2.8","1.9","0.8","-0.6","L"
"Wayne Twitchell","1013244","2.7","3.5","0.4","1.1","1.2","1.7","-1.5","-1.1","B"
"Jason Grimsley","    602","0.6","0.2","0.5","1.4","-0.4","0.9","0.2","0.3","A"
"Edinson Volquez","   3990","-0.2","0.5","3.6","0.2","0.7","-0.3","1.4","0.7","F"
"Bob Miller","1008877","1.2","0.3","0.7","2.7","1.1","0.4","0.3","-1","C"
"Mel Rojas","1011153","-0.6","0.4","1.4","0.3","0.9","1.2","2","-0.2","A"
"Lary Sorensen","1012279","2.3","5","1.9","2.4","3","2","2.2","0.9","J"
"Diego Segui","1011725","1","2","1.7","1.6","0.8","0.6","0.3","1.3","B"
"Bob Shirley","1011911","1.6","1.9","2.3","-0.1","0.1","0.1","1","0.9","B"
"Graeme Lloyd","    783","0.6","0.6","0.1","0.7","-0.1","0.4","0.1","0.5","A"
"Al Downing","1003450","4.7","4.2","3","1.8","3.9","0.2","1.5","0.5","J"
"Rick Mahler","1007988","1.4","2.4","3.4","2.8","2.1","1","4.3","3.2","H"
"Jeff Suppan","    633","1.5","0.5","2.8","1.9","2.5","1.3","2.7","1.4","D"
"Matt Keough","1006858","0.3","3.2","1.6","2.2","1.6","-1.4","-0.9","-0.2","B"
"Jim Lonborg","1007724","2.5","2.8","5.7","0.2","1.8","0.7","1.9","2.3","J"
"Johnny Podres","1010406","3.6","2.3","4.5","1.8","-0.2","0.5","-0.2","-0.5","F"
"Jim Slaton","1012054","0.1","0","2.4","2.1","0.8","4.1","1.5","1.3","G"
"Antonio Osuna","    249","0.3","1.2","0.8","0.3","0.7","2","0.8","0.6","A"
"Andy Benes","   1144","0.9","2.9","3.6","4.7","3.5","4.2","3.3","2.4","I"
"Huston Street","   8258","1.7","2.3","1.4","1.1","1.5","0.8","0.4","1.1","B"
"Jim Roland","1011156","0.5","0","-0.2","0.5","0.6","0.3","-0.2","-0.7","A"
"Danny Graves","    326","0.4","0.8","0.8","1.2","1.3","0.3","-0.1","-0.9","A"
"Clay Carroll","1001997","-0.1","1.5","0.2","1","0.6","1.4","0.2","0.4","A"
"Andy Pettitte","    840","3.2","4.6","7.2","3.2","2.6","3.9","5.8","3.9","M"
"Burt Hooton","1006005","4.1","5.3","2.4","3.9","3.1","5.2","3.3","4.4","M"
"Chad Bradford","    904","0.6","0.3","2","0.6","0.1","1.5","1.1","0.4","A"
"Felix Heredia","   1304","0.4","0.7","0.3","0.4","-0.2","0","-0.1","-0.1","A"
"John Danks","   6329","0.6","5","2.7","4.5","2.9","0.3","0.2","0.6","L"
"Scott Linebrink","    564","0.7","1.4","1.8","1","-0.5","0.5","0.1","-0.1","B"
"Ramiro Mendoza","    836","1.1","1.7","2","1.9","0.5","1.7","1.3","-0.1","B"
"David Wells","    855","-0.9","1.8","3.8","2.5","0.4","3","2.3","3.7","H"
"Casey Janssen","   7355","1","0.9","0.2","0.3","1.2","1.1","1.2","0.1","A"
"Tom Hall","1005262","2.4","4.1","2.1","1.1","0.4","-0.2","-0.6","-0.5","B"
"Rick Reuschel","1010852","4.2","6.1","4.7","4.7","4.8","6.5","4.5","3.9","M"
"Jason Jennings","    434","0.9","2.1","2.2","1.5","1.4","4.2","0.4","0.1","E"
"Mike Jackson","    732","0","0.7","0.6","0.1","1.5","0.4","0.9","1.1","A"
"Doug Davis","   1244","0.5","3.6","0.6","0.7","4.4","3.7","2.8","2.2","E"
"Adam Wainwright","   2233","1.2","3.7","2.4","5.2","5","3.9","6.2","5","K"
"Vida Blue","1001094","-1.1","1.5","8.8","2.1","2.1","5.5","5.1","7.6","K"
"Dean Chance","1002130","3.5","4.8","7.6","3.2","2.9","6.9","7.7","1.3","M"
"Juan Guzman","1005162","3.4","5.5","4.3","1.8","1.8","4.6","-0.2","2.8","J"
"Carlos Silva","    973","0.7","0.1","2.6","2.1","-0.5","2.6","1.4","-0.1","F"
"Joe Nathan","   1122","-0.3","-0.1","1.2","3","2.6","3.1","2","1.9","G"
"Craig Kimbrel","   6655","2.8","3.1","2.2","2.5","1.3","1.2","3.2","1.3","J"
"Jesse Jefferson","1006380","-0.2","0","-0.7","-0.4","2.4","0.7","-0.5","0.9","A"
"Bob Ojeda","1009756","0.5","0.2","1.8","2.8","3.1","4.2","0.5","5.1","H"
"Jim Rooker","1011183","2.2","2.9","0.8","1.2","2.9","5.4","1.9","2.2","E"
"Jason Bere","    266","2.1","1.9","-0.1","0.4","0.1","1.7","3","0.8","B"
"Tim Worrell","   1139","0.6","1.9","-0.2","1","0.7","0.3","0.9","1","A"
"Guillermo Mota","   1467","0","0.2","-0.3","0.4","2.1","1.3","0.6","-0.3","C"
"Bob Forsch","1004233","1.3","3","0.4","2","1.8","2.8","3.5","1.4","E"
"Pascual Perez","1010185","0.9","1.3","4","2.6","0.2","1.9","2.9","3.9","H"
"Dan Spillner","1012342","1","1.5","-0.4","-0.5","1.3","1.4","1.4","1.6","A"
"Jordan Zimmermann","   4505","1.9","-0.3","3.1","3.3","3.8","5.4","3","1.4","G"
"Jonathan Broxton","   4759","1.4","1.9","2","2.6","1","1.1","-0.3","0.7","F"
"Yovani Gallardo","   8173","2.6","2.7","3.6","2.7","2","1.5","1.6","2.5","J"
"Craig Swan","1012754","0.1","0.1","1.5","1.7","3.8","4.4","0.5","1.7","G"
"Mike Norris","1009637","-0.4","-0.3","0.2","1","6","0.9","-0.2","0.8","C"
"Dave Stewart","1012519","0.3","0.4","1.7","0.5","-0.1","1.5","4.8","5.1","H"
"Derek Lowe","    199","0.4","2.4","2.2","2.4","1.6","4.6","2.4","2.2","E"
"Dan Miceli","   1463","0.1","-0.6","0.3","1.1","0.2","0.8","0.3","-0.1","A"
"Dontrelle Willis","   1703","3.4","3.1","6.5","3","0.9","-0.1","-0.2","0.8","J"
"Chris Young","   3196","0.5","3.4","2.2","4.3","1.5","0.1","1.1","-0.1","L"
"J.A. Happ","   7410","0.4","1.6","1","0.7","1.8","1","1.2","3.2","D"
"Dennis Lamp","1007284","0.2","2.9","3.3","1.4","2.3","3.4","1.7","0","E"
"Mike Marshall","1008144","0","0.9","0.8","0.3","1.8","1.6","4.4","0.4","D"
"Yusmeiro Petit","   4020","0.2","0.1","0.1","0.8","1.7","-0.1","-0.2","2","A"
"Jon Matlack","1008246","0.5","4.9","4.7","7.5","4.4","4.4","2.6","6.8","K"
"Mike Pelfrey","   5203","0.4","3.1","1.9","2.8","1.2","2.4","2.3","0.5","E"
"Kyle Kendrick","   6230","1.1","0","0.5","0.2","1.2","2","1","-0.8","A"
"Bob Bruce","1001573","1","0.1","1.6","2.7","4.9","3.4","0.7","0.2","G"
"Joe Hoerner","1005895","0.9","0.4","0.7","0.4","0.4","0.7","0","0.4","A"
"Mike McCormick","1008420","5.1","2.5","-1","-0.1","1.9","2","2","1.5","E"
"Rick Waits","1013494","1.3","1.4","1.5","2.8","1.7","3","1.9","0.4","E"
"Wilbur Wood","1014248","0.2","0.4","1.3","1.3","0.4","1.9","8.7","6.1","H"
"Paul Quantrill","    669","0.7","1.2","-0.1","2","0.3","1.9","1.6","0.2","C"
"Gil Meche","   1089","0.4","1.5","1.5","1.1","0.5","1.9","3.7","4.2","H"
"Francisco Liriano","   3201","3.6","1.4","0.7","5.6","0.6","1.5","3.1","1.6","G"
"Bob Gibson","1004662","1.1","3.9","6","4.4","5.8","5.1","6","4.3","K"
"Neal Heaton","1005568","0.4","2.4","1.3","2","0.9","2.3","-1","0.4","C"
"Bill Krueger","1007175","1.2","0.8","0.9","-0.1","0.8","0.8","2","1.9","D"
"Phil Regan","1010785","0.3","0.4","1.3","0.3","1","0.4","1.6","0.7","A"
"Jason Vargas","   8044","1.7","-0.6","0.5","3.4","2.7","1.5","1.7","2.3","D"
"Brett Anderson","   8223","3.7","2.5","1","0.9","0.3","1.1","1.5","0.8","B"
"John Candelaria","1001909","2.6","2.5","2.9","2.7","2.2","4","0.4","3.7","E"
"Bruce Chen","    769","-0.1","1.7","0.5","-0.2","0.6","1.6","-0.7","0","A"
"Matt Lindstrom","   4604","1.4","0.9","0","0.2","0.8","0.6","1","-0.2","A"
"Ken Forsch","1004234","4.1","0.8","2.6","1","0.7","0.5","1.5","2.4","F"
"Ted Lilly","    833","0.8","1.3","3.1","3","0.5","2.1","3.8","2.8","H"
"Carlos Villanueva","   4138","0.5","0.4","0.7","0.5","0.1","1.3","0.6","1.2","A"
"Cole Hamels","   4972","2.6","3.9","4.7","3.7","3.6","5.1","4.6","4.6","I"
"Andy Hassler","1005480","0.4","1.1","1.1","1.5","2.2","1.7","0.9","0.6","C"
"Dan Schatzeder","1011527","0.5","1.3","2.1","-0.5","0.2","1.1","1.3","0.8","B"
"Pete Schourek","1011608","0.5","1.3","0.9","0.7","4.2","1","-0.4","0.8","C"
"Rod Scurry","1011700","0.2","0.5","1","-0.6","1.1","0","0.6","-0.3","A"
"Livan Hernandez","   1116","1.9","0.4","2.9","4.5","2.3","2.7","4.4","4.4","H"
"Kevin Millwood","    106","1.3","3.4","5.5","4","0.9","4.6","4.7","2.9","I"
