"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","Cluster"
"Jason Isringhausen","   1158","1.5","2.1","0.1","0.9","1.8","2.5","0.9","1.7","0.7","-0.9","0.6","C"
"John Smoltz","    115","-0.4","4","3.6","3.7","5","3.9","2.1","4.6","8.4","6.7","5.2","N"
"Dick Tidrow","1013056","2.5","2.5","2.4","0.1","1.5","0.5","2.2","0.7","0.4","-0.1","0.9","C"
"Mike Morgan","     67","-0.2","0.9","-0.1","2.5","3.1","0.5","2.5","2.1","4.5","3.2","2.8","E"
"Jeremy Affeldt","    583","0.9","2.5","1","0.3","-0.5","0.4","0.4","0.5","0.1","0","0.8","C"
"Jason Frasor","   1906","0.8","0.6","0.2","1","-0.1","1.4","0.9","0.1","0.2","0.7","0.4","A"
"Bill Gullickson","1005136","3.2","4.8","2.8","3.4","1.8","3","3.2","1.1","0.4","3.4","0.6","G"
"Catfish Hunter","1006199","0.3","1.8","5.2","1.4","1.3","3.1","3.2","4.5","0.5","6.3","5.7","E"
"Dennys Reyes","    444","0.5","1.2","0.9","0","0.5","0.2","1.1","-0.2","0.9","0.4","0.1","A"
"Julian Tavarez","    541","-0.1","1.6","0.9","0","0.3","-0.3","1.5","2.2","1","1.1","1.3","A"
"Al Leiter","    883","0.5","0.3","0.9","2.5","3","3.4","1.3","4.8","3.3","4.8","3.8","E"
"Doyle Alexander","1000122","0.9","1.1","0.8","0.6","1.2","1.3","1.7","1.4","1.2","2.9","1.6","D"
"Larry McWilliams","1008700","0.7","1.1","0.5","0.9","2.6","4.3","2.9","0.1","0.1","0.8","1.9","B"
"Grant Jackson","1006298","1.1","0.6","4.3","1.5","1.1","0.9","0.7","0.7","0.7","0.9","-0.5","C"
"Troy Percival","     29","2.4","2.3","1.1","1.7","0.6","0.2","2.2","1.6","0.2","0.1","0.7","C"
"Kent Tekulve","1012905","0.3","1.7","1.3","1.4","2.1","0","1.2","0.6","1.9","0.2","0.2","C"
"Juan Cruz","    273","0.9","0.1","0.7","0.5","-0.2","1.6","0.6","0.5","-0.1","0.3","0","A"
"Lindy McDaniel","1008441","2.6","0.7","1.3","0.6","1.6","0.5","1.9","0.4","0.1","1.3","1.8","D"
"Mike Witt","1014174","1.6","3.8","0.7","5.9","4.7","6.7","4","4.4","2.7","1.4","0","L"
"Woodie Fryman","1004381","3","0.3","2.9","3","2.4","3.1","2.7","1.7","0.9","2.3","2.6","H"
"Dave LaRoche","1007354","0","1","0.1","-0.3","-0.1","1.3","2.6","0.3","0.6","-0.2","1.1","A"
"Chan Ho Park","   1267","1.1","2.1","3.7","1.2","3.9","4.3","1","-0.3","1.9","0.8","0.2","G"
"Kenny Rogers","   1277","0.8","1.3","-0.5","1.1","3.6","2.5","3","2.2","0.6","4.5","3.5","E"
"Gary Lavelle","1007389","0","0.1","3","0.9","1.3","0.9","0.7","1.3","2.1","0.7","0.8","A"
"Sparky Lyle","1007859","0.6","0.8","1.3","0.6","0.2","1.5","1.5","2","2","0.8","2.5","D"
"Andrew Miller","   6785","0.3","1.9","0.7","-0.4","-0.1","0.5","0.3","2.2","2.1","2.9","2.3","D"
"Shane Rawley","1010719","0.9","1.9","1.6","0.9","3.2","3.2","1.6","1.6","1.7","2.4","-0.7","B"
"Kevin Appier","      3","3.2","4.7","4.8","6.8","4","5.3","6.3","5.2","2.7","2","3.4","I"
"Charlie Hough","1006050","0.3","-0.5","-0.3","-0.4","0.5","0","0","0.2","1.4","3.1","3.2","A"
"Steve Barber","1000530","1.7","3.5","2.3","5.4","1.1","2.9","2.6","0.6","0.9","0.8","0.5","K"
"Jim Palmer","1009973","0.6","2","-0.1","3.7","6.2","4.6","4.4","4.6","1.9","6.9","4.2","E"
"Matt Belisle","   1837","0.4","0","2.4","0","2","1.2","1.8","1.3","0.4","0.1","0.7","A"
"Denny Neagle","    441","-0.1","0.4","1.8","4.2","3.4","5.2","3.1","0.3","2.5","2.3","1.5","H"
"Hideo Nomo","    666","5.2","4.4","3.4","1.4","2.1","2.1","3","2.9","3.3","-0.4","0.1","G"
"Kirk Rueter","   1128","1.4","1","1","0.9","3","0.9","1.4","1.2","0.8","1.3","0.7","B"
"Bruce Sutter","1012743","1.9","5.2","2.3","4.8","1.9","1.1","0.2","0.5","1.5","-0.6","0.7","J"
"Danny Darwin","1002996","1","2.5","1.7","1","3.2","3.7","1.3","3.2","2.6","1","1.6","F"
"Jake Westbrook","    412","0.8","0.1","1","3","2.9","3.6","1.7","0.3","1.9","0.7","2","B"
"Jose Lima","    475","0.9","0.6","0.4","2.7","4.7","-0.1","-0.2","0","1","0.8","-0.3","B"
"Ryan Dempster","    517","-0.3","0.7","3.4","2.2","1.4","0.7","1.8","0.9","0.2","4.7","3.6","D"
"Dave Burba","   1239","-0.2","0.5","0.1","0.6","1.2","2.3","1.1","1.8","3","4.2","2.5","D"
"Alejandro Pena","1010140","-0.2","4.1","4.7","0.4","0.8","1.7","1.1","1.3","1","-0.3","0.6","C"
"Paul Splittorff","1012346","3.7","3.9","4.1","1.4","2","0.9","3.7","2.9","1.8","2.4","0.7","G"
"Todd Jones","    436","-0.1","1.4","0.4","-0.4","1.8","0.3","0.8","1.4","0.1","0.9","0","A"
"Joel Pineiro","   1094","2","2.5","3.5","1.8","1.8","0.4","0.4","0.6","4.3","2.1","0.6","J"
"Ken Brett","1001402","0","2","0.2","0.7","2.6","4","0.7","3.3","2","-0.3","0.5","B"
"Matt Cain","   4732","0.7","3.8","4.1","3.7","3.3","4","4.5","3.2","1.2","-0.2","-0.5","K"
"John Smiley","1012084","-0.1","3.5","2.2","1.9","3.4","5","0.8","2.6","4.3","4.5","1.4","E"
"Ramon Ortiz","     27","0.6","0.7","2.3","1.6","0.8","0.8","0.3","0.2","0.1","-0.3","-0.2","C"
"Roger McDowell","1008475","0.9","1.4","0","0.8","0.4","0.8","0.1","0.1","0.1","0","0.9","A"
"A.J. Burnett","    512","0.6","0.9","1.4","4.8","2.9","5","2.9","2.3","5","2.8","1.4","L"
"Mike Myers","     68","1.1","-0.5","0","0","0.9","0.6","0.3","-0.3","-0.1","0.1","0.2","A"
"Mike Torrez","1013134","0.4","1.6","-0.4","2.2","1","2.4","2.4","3.3","2.3","3.3","3.3","E"
"Reggie Cleveland","1002347","3.5","3.5","4.3","1.5","1.6","2.6","2.7","1","-0.7","1.3","-0.7","G"
"Dick Drago","1003475","2.5","3.8","4.7","2.9","2.8","1.9","0.8","-0.6","0.5","0.6","2.5","J"
"Jason Grimsley","    602","0.6","0.2","0.5","1.4","-0.4","0.9","0.2","0.3","0.9","0.8","0.5","A"
"Edinson Volquez","   3990","-0.2","0.5","3.6","0.2","0.7","-0.3","1.4","0.7","0.7","2.7","1.7","D"
"Bob Miller","1008877","1.2","0.3","0.7","2.7","1.1","0.4","0.3","-1","0.7","1.7","0","A"
"Diego Segui","1011725","1","2","1.7","1.6","0.8","0.6","0.3","1.3","2.2","0.6","0.7","C"
"Bob Shirley","1011911","1.6","1.9","2.3","-0.1","0.1","0.1","1","0.9","2.4","0.2","-0.4","C"
"Al Downing","1003450","4.7","4.2","3","1.8","3.9","0.2","1.5","0.5","3.1","2.2","1.9","J"
"Jeff Suppan","    633","1.5","0.5","2.8","1.9","2.5","1.3","2.7","1.4","1.8","1.9","2.6","D"
"Jim Lonborg","1007724","2.5","2.8","5.7","0.2","1.8","0.7","1.9","2.3","0.8","4.4","2.1","G"
"Jim Slaton","1012054","0.1","0","2.4","2.1","0.8","4.1","1.5","1.3","3.5","0.4","0.2","B"
"Andy Benes","   1144","0.9","2.9","3.6","4.7","3.5","4.2","3.3","2.4","5.1","3.3","1.3","L"
"Huston Street","   8258","1.7","2.3","1.4","1.1","1.5","0.8","0.4","1.1","-0.8","1","0.4","C"
"Clay Carroll","1001997","-0.1","1.5","0.2","1","0.6","1.4","0.2","0.4","0.4","1.8","1.2","A"
"Andy Pettitte","    840","3.2","4.6","7.2","3.2","2.6","3.9","5.8","3.9","5.1","1.9","5.8","I"
"Burt Hooton","1006005","4.1","5.3","2.4","3.9","3.1","5.2","3.3","4.4","1.8","3.3","1.8","I"
"David Wells","    855","-0.9","1.8","3.8","2.5","0.4","3","2.3","3.7","3.4","4.3","4.4","E"
"Rick Reuschel","1010852","4.2","6.1","4.7","4.7","4.8","6.5","4.5","3.9","4.7","3","1.2","I"
"Mike Jackson","    732","0","0.7","0.6","0.1","1.5","0.4","0.9","1.1","0.3","0.7","1.7","A"
"Doug Davis","   1244","0.5","3.6","0.6","0.7","4.4","3.7","2.8","2.2","2.3","1","-0.1","F"
"Adam Wainwright","   2233","1.2","3.7","2.4","5.2","5","3.9","6.2","5","2.7","1.4","0.5","L"
"Vida Blue","1001094","-1.1","1.5","8.8","2.1","2.1","5.5","5.1","7.6","4.9","5.6","1.1","M"
"Joe Nathan","   1122","-0.3","-0.1","1.2","3","2.6","3.1","2","1.9","1.8","-0.1","1.7","B"
"Bob Ojeda","1009756","0.5","0.2","1.8","2.8","3.1","4.2","0.5","5.1","1","0.7","2.1","H"
"Jim Rooker","1011183","2.2","2.9","0.8","1.2","2.9","5.4","1.9","2.2","1.6","0.8","0.6","H"
"Tim Worrell","   1139","0.6","1.9","-0.2","1","0.7","0.3","0.9","1","1.4","1.1","0.2","A"
"Guillermo Mota","   1467","0","0.2","-0.3","0.4","2.1","1.3","0.6","-0.3","0.2","0.1","0.1","A"
"Bob Forsch","1004233","1.3","3","0.4","2","1.8","2.8","3.5","1.4","2.1","-0.1","0","B"
"Dan Spillner","1012342","1","1.5","-0.4","-0.5","1.3","1.4","1.4","1.6","2.6","0.3","0.4","A"
"Yovani Gallardo","   8173","2.6","2.7","3.6","2.7","2","1.5","1.6","2.5","0.6","0.1","0.4","G"
"Dave Stewart","1012519","0.3","0.4","1.7","0.5","-0.1","1.5","4.8","5.1","3.2","4.9","1.5","F"
"Derek Lowe","    199","0.4","2.4","2.2","2.4","1.6","4.6","2.4","2.2","2.8","4.4","3.1","E"
"Chris Young","   3196","0.5","3.4","2.2","4.3","1.5","0.1","1.1","-0.1","1","-1.2","-0.3","J"
"J.A. Happ","   7410","0.4","1.6","1","0.7","1.8","1","1.2","3.2","2.9","2.8","3","D"
"Dennis Lamp","1007284","0.2","2.9","3.3","1.4","2.3","3.4","1.7","0","2","0.5","0.5","J"
"Mike Marshall","1008144","0","0.9","0.8","0.3","1.8","1.6","4.4","0.4","0.4","0.8","1.9","D"
"Jon Matlack","1008246","0.5","4.9","4.7","7.5","4.4","4.4","2.6","6.8","1.2","5.2","0.8","I"
"Rick Waits","1013494","1.3","1.4","1.5","2.8","1.7","3","1.9","0.4","0.6","0.6","0.2","B"
"Wilbur Wood","1014248","0.2","0.4","1.3","1.3","0.4","1.9","8.7","6.1","7.4","4.7","3.4","M"
"Paul Quantrill","    669","0.7","1.2","-0.1","2","0.3","1.9","1.6","0.2","0.9","1.7","1.4","A"
"Francisco Liriano","   3201","3.6","1.4","0.7","5.6","0.6","1.5","3.1","1.6","3.3","0.5","0.7","K"
"Bob Gibson","1004662","1.1","3.9","6","4.4","5.8","5.1","6","4.3","8.6","8.8","9.8","N"
"Neal Heaton","1005568","0.4","2.4","1.3","2","0.9","2.3","-1","0.4","0.9","-0.1","-0.3","C"
"Phil Regan","1010785","0.3","0.4","1.3","0.3","1","0.4","1.6","0.7","0.4","1","0","A"
"Jason Vargas","   8044","1.7","-0.6","0.5","3.4","2.7","1.5","1.7","2.3","0.4","1.9","0.2","B"
"John Candelaria","1001909","2.6","2.5","2.9","2.7","2.2","4","0.4","3.7","4.5","3.3","1.8","E"
"Bruce Chen","    769","-0.1","1.7","0.5","-0.2","0.6","1.6","-0.7","0","1.2","1.4","1.7","A"
"Ken Forsch","1004234","4.1","0.8","2.6","1","0.7","0.5","1.5","2.4","1.8","2.4","3.1","D"
"Ted Lilly","    833","0.8","1.3","3.1","3","0.5","2.1","3.8","2.8","3.7","2.5","2.2","F"
"Carlos Villanueva","   4138","0.5","0.4","0.7","0.5","0.1","1.3","0.6","1.2","1.3","0.2","-0.7","A"
"Cole Hamels","   4972","2.6","3.9","4.7","3.7","3.6","5.1","4.6","4.6","4.5","4.5","3.3","I"
"Andy Hassler","1005480","0.4","1.1","1.1","1.5","2.2","1.7","0.9","0.6","-0.2","0","0.4","B"
"Dan Schatzeder","1011527","0.5","1.3","2.1","-0.5","0.2","1.1","1.3","0.8","-0.4","0","0.2","A"
"Pete Schourek","1011608","0.5","1.3","0.9","0.7","4.2","1","-0.4","0.8","0.4","0.8","-0.2","B"
"Livan Hernandez","   1116","1.9","0.4","2.9","4.5","2.3","2.7","4.4","4.4","2.4","2","0.2","F"
"Kevin Millwood","    106","1.3","3.4","5.5","4","0.9","4.6","4.7","2.9","3.4","4.3","2.1","I"
"Edwin Jackson","   1841","0.1","1.2","1.5","3.7","3.2","3.4","2.1","2.2","0.7","0","-0.2","B"
"Kevin Gross","1005088","0.5","1.3","3.6","1.5","0.8","2.4","1.6","2.4","0.9","3.4","3.2","D"
"Fritz Peterson","1010227","3.5","2.8","3.6","6.8","4.4","4.1","2.9","1.3","1.5","1.2","0.9","K"
"Zack Greinke","   1943","1.8","2","2.1","4.2","8.6","4.9","3.2","4.8","3.5","4.5","5.4","N"
"Ubaldo Jimenez","   3374","0.9","4.2","5.3","5.9","3.3","0.9","3.5","0.4","2.6","1.6","-0.1","K"
"Ricky Nolasco","   3830","1.2","4.3","4.2","2.2","3.2","2.3","3.5","1.3","0.8","2.8","0.5","G"
"David Cone","   1680","0.5","5.3","3.3","5","6.5","5.2","3.9","3.8","4.5","2.2","4.9","I"
"Nelson Briles","1001432","1","1.2","2.1","2.4","3.4","0.7","1.2","3.5","2.7","1.3","0.4","B"
"Mark Gubicza","1005115","2.7","2.2","3","3.8","6.2","6.3","1.6","2.1","2.1","2.3","2.7","H"
"Luis Tiant","1013054","2","2.8","2.5","3.7","7.4","0.5","0.5","0.9","3.6","5","6.5","E"
"Bud Black","1001007","0.3","1.1","4.3","3.6","0.1","1.1","0.6","3.4","2.4","0.8","-0.1","C"
"Ron Perranoski","1010201","0.9","1.7","0","0.5","0.4","0.2","0.3","0.5","1.2","0.8","-0.2","A"
"Marty Pattin","1010074","0.1","0.2","4.3","3.4","4.6","1.8","1","2.3","1.4","0.3","-0.1","B"
"Bartolo Colon","    375","0.7","4.4","3.8","4.3","3.9","4.4","4.7","1.4","4.1","0.3","1","K"
"Joe Blanton","   4849","2.2","3.2","5.3","1.8","2.1","1.8","0.6","2.5","-0.4","1.1","0.8","G"
"Ray Sadecki","1011360","1.4","1.8","0.7","1.2","3.7","1.2","-0.3","4","4.6","0.7","1","F"
"Lee Smith","1012175","0.9","2.7","2.4","2.1","2.7","1.8","2.9","1.6","1.5","2.4","2","D"
"Kyle Lohse","    739","0.3","1.2","2.8","1","1.6","1.5","3","2.8","0.7","0.5","2.2","D"
"Felix Hernandez","   4772","2.3","3.3","3.5","3.6","7","6.8","5.3","6.6","6.1","5.6","2.7","O"
"Oliver Perez","   1514","0.6","0.4","4.5","-0.8","0.1","2.7","1.6","-0.6","-1.1","0.8","0.4","C"
"Bert Blyleven","1001098","3.6","7.5","5.9","10.8","8.5","6.2","6.7","4.9","5.2","3.4","3.9","O"
"Orel Hershiser","1005741","4","5.4","3.6","5.6","4","5.6","2.5","2.3","3","1.1","2.5","I"
"Anibal Sanchez","   3284","1.9","0","0.3","0.7","4.2","3.7","3.5","5.8","3.3","1.3","0.9","F"
"Rich Gossage","1004894","0.5","-0.8","0.7","4","2","4.2","2.4","1","3.2","1.4","3.6","H"
"Dave Smith","1012117","1.9","1.1","-0.6","0.2","0.3","1.3","0.2","2.8","0.9","0.7","0.9","A"
"Javier Vazquez","    801","0.5","2.2","5.2","6.1","4.6","6","2","3.5","4.7","4.8","4.9","L"
"C.J. Wilson","   3580","0.3","0","0.7","-0.5","1.8","4.3","5.2","2.6","2.9","0.5","1.5","F"
"Bill Lee","1007448","-0.2","0.5","1.1","0.3","5.2","3.7","3.5","-0.2","1.2","0.7","1.8","B"
"Bruce Ruffin","1011294","2.7","2.5","0.4","0.7","0.9","2.2","-0.3","1.7","0.7","0.5","1.6","C"
"Tom Glavine","     90","0","2","2","2.9","5.4","4.6","3.3","3.6","4.3","5.3","3.6","E"
"Dennis Martinez","1008161","2.3","3.8","4.3","-0.2","2.8","1.9","0.7","0.1","0","1","2.8","G"
"Larry Gura","1005150","-0.2","0.7","1.1","1.8","0","1.1","3.1","1.3","4.1","2.7","1.9","D"
"Kevin Correia","   1767","0","-0.4","1","1.1","0.4","3.1","0.1","0.3","0.9","1.5","0.5","A"
"Jim Brewer","1001406","0.3","-0.5","1.1","0.2","0.8","0.2","0.8","0.7","1.1","0.6","0.1","A"
"Eddie Guardado","    727","0.5","0.3","0.3","0.4","0","0.4","-0.5","1.4","1.2","1.4","0.2","A"
"Jason Grilli","    521","-0.2","0","0.6","1","0.4","0.5","1.3","1.5","0.3","1.3","0","A"
"Jason Hammel","   4538","0.3","0.3","-0.2","3.5","3.2","1.1","2.6","0.6","1.8","2.3","1.3","B"
"Randy Myers","1009427","1.5","1.7","1.6","2","1.3","0.3","1.6","0.5","0.4","1.3","2","C"
"John Lackey","   1507","1.9","1.8","3.1","5.3","5.3","5","1.4","3.2","3.4","0.9","2.4","H"
"Matt Thornton","   1918","0.2","-0.9","0.9","0.9","1.8","2.3","2.2","1.4","1.3","0.1","0.6","B"
"Jimmy Key","1006885","-0.4","2.8","3.4","5.6","1.6","4.6","2.4","5.3","2.7","5.2","4","E"
"Jason Marquis","    105","1.2","0.3","0","1.8","0.7","-0.5","1.4","1.7","3.2","-0.5","1","A"
"Frank Viola","1013435","0.9","0.1","3.5","3.9","2.9","5.4","6.3","5","5.8","2.5","3.7","M"
"Greg Swindell","     76","0.9","1.4","6.3","3.3","2.7","5.9","4.6","2","1.2","1","-0.7","K"
"Greg Maddux","    104","0.4","1.5","3.7","3.7","5.1","5.8","7","7.5","7.4","7.9","7.8","N"
"Don Aase","1000003","2.2","1.6","1.8","1.9","0.7","0.6","0.8","1.5","1.9","-0.4","-0.3","C"
"Jim Bunning","1001653","6.9","6.3","4.6","2.7","5.6","7.3","6.8","6.8","0.6","3.8","4.1","I"
"Mark Gardner","1004529","2.3","0.8","1.9","-0.1","0.4","0.4","1.4","1.4","2","-0.2","2","C"
"Sonny Siebert","1011951","2.6","5.4","3.4","2.3","2.7","2.1","3.3","4.4","2.7","1.7","1.6","G"
"Jarrod Washburn","     40","0.6","1","0.3","2.5","4.2","1.6","1.7","2","1.9","2","1.5","B"
"LaTroy Hawkins","    729","-0.1","1.6","1.4","1.1","-0.1","1.6","2.6","1.4","0.2","0.7","0.2","C"
"Clayton Kershaw","   2036","1.3","4.1","4.5","7.4","6.2","7.3","8","8.7","6.4","4.3","3.3","O"
"Mike Hampton","    430","-0.1","2.3","2.4","3.1","2.3","4.9","4.6","1.9","0.3","2.6","1.9","H"
"Bob Veale","1013391","1","1.4","6.5","8","5.3","2","2.6","6","3.7","-0.2","0.5","L"
"Armando Benitez","    865","-0.3","1.7","0.4","3.1","1.5","0.3","1","0.9","1.6","-0.2","-0.3","C"
"Steve Trachsel","    898","1.5","0.7","1.6","1.7","1.8","2.5","2.4","2","2.1","1.8","1.5","D"
"Don McMahon","1008629","-0.7","0.2","0.9","-0.5","0.8","0.1","0.1","0.3","0.8","0.9","0.2","A"
"Barry Zito","    944","2.1","4.8","4.5","4.4","3.1","3","2.2","1.6","1.3","2","1.8","K"
"Mike Timlin","   1187","1.5","0.7","0.2","0.2","1.3","1.4","0.6","1.8","0.3","0.1","0.7","A"
"Ryan Madson","   1852","1.3","0.8","0.9","0.4","1.2","1.2","1.2","1.8","0.9","0.4","1.9","A"
"Mark Eichhorn","1003712","0.4","4.9","0.8","0","0.5","2.1","1.9","1.6","1","1.6","0.4","C"
"Dave Stieb","1012532","1.6","4.3","2.9","4.8","5.1","5.6","4.5","0.8","2.5","3.1","2.7","I"
"Rick Aguilera","1000086","2","1.6","1.6","3.6","1.3","1.5","0.8","1","0.8","1.3","1.5","C"
"Dick Ruthven","1011330","1.4","3.4","0.4","3.9","2.1","3.4","1.6","3.2","1.6","2.2","2.3","F"
"Scott Downs","    773","1","0.4","1","0.5","1.1","1","0.8","1.1","0.6","0.2","0.5","A"
"Trevor Hoffman","   1035","0.4","1.6","0.1","2.9","2.3","3.1","2.2","2.6","0.3","2","1.8","B"
"Wilson Alvarez","   1193","-0.2","-0.6","2.7","2.8","1.5","4.2","3.8","1.3","1.8","0","2.5","H"
"Gene Garber","1004493","1","-0.1","0.4","1.8","2.3","1.2","1.1","0.9","0.7","2.2","-0.1","B"
"Bruce Hurst","1006222","0","0.4","2.6","1.8","3.3","4.2","3.5","3.8","5.2","4","3.9","E"
"Tippy Martinez","1008200","-0.4","0.4","0.3","0.5","2.2","1.6","0.6","1.8","1.2","0.2","-0.1","A"
"Scott Feldman","   6283","0.3","-0.4","0.6","2.9","1.2","0.2","2.3","2.2","1.2","0.8","0.2","B"
"Larry Dierker","1003288","1.8","2.4","2.1","1.9","7.3","3.6","3.3","3.3","2.9","0.9","2.3","H"
"Dave Righetti","1010958","3.5","2.9","5.4","2.6","2.7","3","1.2","1.4","1.2","-0.4","0.6","G"
"Bob Stanley","1012409","1.7","2.3","4","2.5","0.3","2","2.3","1.1","0.7","0.8","1.9","G"
"Ray Burris","1001729","1.4","0.3","2.4","2.8","2.1","1.8","0.1","0.6","1.2","-0.5","1.5","B"
"Mike Moore","1009122","0.4","2.4","4.2","5.9","3.7","3.1","4.6","4.4","1.3","3.4","1.4","L"
"Bob Walk","1013507","2","-0.3","0.8","1.3","0.2","1.1","3.2","1.5","0.8","1.1","0.6","D"
"Brett Tomko","   1056","1.5","3.6","1.4","0.5","-0.5","1.3","1","2.7","2.3","1","1.2","C"
"Jack Billingham","1000970","0.3","-0.2","3.7","4.1","2.5","3.7","3","0.5","0.7","1","2","H"
"Bill Campbell","1001874","0.6","2.2","0.7","1.7","1.7","1.8","0.2","0.2","0.2","0.9","2","C"
"Joaquin Benoit","   1437","0.7","-0.1","1","1.5","1.2","1.8","-0.2","1.7","1.2","0.1","1.4","A"
