"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","WAR12","Cluster"
"Kenny Rogers","   1277","0.8","1.3","-0.5","1.1","3.6","2.5","3","2.2","0.6","4.5","3.5","4.3","C"
"Gary Lavelle","1007389","0","0.1","3","0.9","1.3","0.9","0.7","1.3","2.1","0.7","0.8","0.2","A"
"Sparky Lyle","1007859","0.6","0.8","1.3","0.6","0.2","1.5","1.5","2","2","0.8","2.5","0.5","C"
"Andrew Miller","   6785","0.3","1.9","0.7","-0.4","-0.1","0.5","0.3","2.2","2.1","2.9","2.3","0.4","C"
"Shane Rawley","1010719","0.9","1.9","1.6","0.9","3.2","3.2","1.6","1.6","1.7","2.4","-0.7","0.1","E"
"Kevin Appier","      3","3.2","4.7","4.8","6.8","4","5.3","6.3","5.2","2.7","2","3.4","2.6","F"
"Charlie Hough","1006050","0.3","-0.5","-0.3","-0.4","0.5","0","0","0.2","1.4","3.1","3.2","3.1","C"
"Steve Barber","1000530","1.7","3.5","2.3","5.4","1.1","2.9","2.6","0.6","0.9","0.8","0.5","-0.3","E"
"Jim Palmer","1009973","0.6","2","-0.1","3.7","6.2","4.6","4.4","4.6","1.9","6.9","4.2","5.5","K"
"Matt Belisle","   1837","0.4","0","2.4","0","2","1.2","1.8","1.3","0.4","0.1","0.7","0.6","A"
"Denny Neagle","    441","-0.1","0.4","1.8","4.2","3.4","5.2","3.1","0.3","2.5","2.3","1.5","-0.4","G"
"Kirk Rueter","   1128","1.4","1","1","0.9","3","0.9","1.4","1.2","0.8","1.3","0.7","0.7","A"
"Danny Darwin","1002996","1","2.5","1.7","1","3.2","3.7","1.3","3.2","2.6","1","1.6","2.8","H"
"Jake Westbrook","    412","0.8","0.1","1","3","2.9","3.6","1.7","0.3","1.9","0.7","2","-0.1","E"
"Ryan Dempster","    517","-0.3","0.7","3.4","2.2","1.4","0.7","1.8","0.9","0.2","4.7","3.6","2.5","C"
"Dave Burba","   1239","-0.2","0.5","0.1","0.6","1.2","2.3","1.1","1.8","3","4.2","2.5","1.6","C"
"Paul Splittorff","1012346","3.7","3.9","4.1","1.4","2","0.9","3.7","2.9","1.8","2.4","0.7","1.9","I"
"Todd Jones","    436","-0.1","1.4","0.4","-0.4","1.8","0.3","0.8","1.4","0.1","0.9","0","0.9","A"
"Ken Brett","1001402","0","2","0.2","0.7","2.6","4","0.7","3.3","2","-0.3","0.5","-0.2","E"
"Matt Cain","   4732","0.7","3.8","4.1","3.7","3.3","4","4.5","3.2","1.2","-0.2","-0.5","-0.1","D"
"Roger McDowell","1008475","0.9","1.4","0","0.8","0.4","0.8","0.1","0.1","0.1","0","0.9","-0.1","A"
"A.J. Burnett","    512","0.6","0.9","1.4","4.8","2.9","5","2.9","2.3","5","2.8","1.4","0.6","G"
"Mike Myers","     68","1.1","-0.5","0","0","0.9","0.6","0.3","-0.3","-0.1","0.1","0.2","-0.2","A"
"Mike Torrez","1013134","0.4","1.6","-0.4","2.2","1","2.4","2.4","3.3","2.3","3.3","3.3","2.6","C"
"Dick Drago","1003475","2.5","3.8","4.7","2.9","2.8","1.9","0.8","-0.6","0.5","0.6","2.5","-0.1","D"
"Jason Grimsley","    602","0.6","0.2","0.5","1.4","-0.4","0.9","0.2","0.3","0.9","0.8","0.5","0.2","A"
"Edinson Volquez","   3990","-0.2","0.5","3.6","0.2","0.7","-0.3","1.4","0.7","0.7","2.7","1.7","0.9","C"
"Bob Miller","1008877","1.2","0.3","0.7","2.7","1.1","0.4","0.3","-1","0.7","1.7","0","0.8","A"
"Diego Segui","1011725","1","2","1.7","1.6","0.8","0.6","0.3","1.3","2.2","0.6","0.7","0.9","B"
"Al Downing","1003450","4.7","4.2","3","1.8","3.9","0.2","1.5","0.5","3.1","2.2","1.9","1.1","I"
"Jeff Suppan","    633","1.5","0.5","2.8","1.9","2.5","1.3","2.7","1.4","1.8","1.9","2.6","0","C"
"Jim Lonborg","1007724","2.5","2.8","5.7","0.2","1.8","0.7","1.9","2.3","0.8","4.4","2.1","3.2","I"
"Jim Slaton","1012054","0.1","0","2.4","2.1","0.8","4.1","1.5","1.3","3.5","0.4","0.2","-1.6","E"
"Andy Benes","   1144","0.9","2.9","3.6","4.7","3.5","4.2","3.3","2.4","5.1","3.3","1.3","1.6","F"
"Clay Carroll","1001997","-0.1","1.5","0.2","1","0.6","1.4","0.2","0.4","0.4","1.8","1.2","1.1","A"
"Andy Pettitte","    840","3.2","4.6","7.2","3.2","2.6","3.9","5.8","3.9","5.1","1.9","5.8","3.4","F"
"Burt Hooton","1006005","4.1","5.3","2.4","3.9","3.1","5.2","3.3","4.4","1.8","3.3","1.8","0.3","O"
"David Wells","    855","-0.9","1.8","3.8","2.5","0.4","3","2.3","3.7","3.4","4.3","4.4","3.9","J"
"Rick Reuschel","1010852","4.2","6.1","4.7","4.7","4.8","6.5","4.5","3.9","4.7","3","1.2","5.2","F"
"Mike Jackson","    732","0","0.7","0.6","0.1","1.5","0.4","0.9","1.1","0.3","0.7","1.7","1.9","A"
"Doug Davis","   1244","0.5","3.6","0.6","0.7","4.4","3.7","2.8","2.2","2.3","1","-0.1","0.7","E"
"Vida Blue","1001094","-1.1","1.5","8.8","2.1","2.1","5.5","5.1","7.6","4.9","5.6","1.1","3.3","L"
"Joe Nathan","   1122","-0.3","-0.1","1.2","3","2.6","3.1","2","1.9","1.8","-0.1","1.7","2.4","E"
"Bob Ojeda","1009756","0.5","0.2","1.8","2.8","3.1","4.2","0.5","5.1","1","0.7","2.1","1.4","H"
"Guillermo Mota","   1467","0","0.2","-0.3","0.4","2.1","1.3","0.6","-0.3","0.2","0.1","0.1","0.2","A"
"Bob Forsch","1004233","1.3","3","0.4","2","1.8","2.8","3.5","1.4","2.1","-0.1","0","0.6","E"
"Dan Spillner","1012342","1","1.5","-0.4","-0.5","1.3","1.4","1.4","1.6","2.6","0.3","0.4","0.1","A"
"Dave Stewart","1012519","0.3","0.4","1.7","0.5","-0.1","1.5","4.8","5.1","3.2","4.9","1.5","1.2","J"
"Derek Lowe","    199","0.4","2.4","2.2","2.4","1.6","4.6","2.4","2.2","2.8","4.4","3.1","4.3","J"
"Dennis Lamp","1007284","0.2","2.9","3.3","1.4","2.3","3.4","1.7","0","2","0.5","0.5","1.3","D"
"Mike Marshall","1008144","0","0.9","0.8","0.3","1.8","1.6","4.4","0.4","0.4","0.8","1.9","2.1","C"
"Jon Matlack","1008246","0.5","4.9","4.7","7.5","4.4","4.4","2.6","6.8","1.2","5.2","0.8","1.7","F"
"Wilbur Wood","1014248","0.2","0.4","1.3","1.3","0.4","1.9","8.7","6.1","7.4","4.7","3.4","1.2","L"
"Paul Quantrill","    669","0.7","1.2","-0.1","2","0.3","1.9","1.6","0.2","0.9","1.7","1.4","1.5","A"
"Francisco Liriano","   3201","3.6","1.4","0.7","5.6","0.6","1.5","3.1","1.6","3.3","0.5","0.7","0.4","E"
"Bob Gibson","1004662","1.1","3.9","6","4.4","5.8","5.1","6","4.3","8.6","8.8","9.8","5.2","M"
"Phil Regan","1010785","0.3","0.4","1.3","0.3","1","0.4","1.6","0.7","0.4","1","0","0.2","A"
"John Candelaria","1001909","2.6","2.5","2.9","2.7","2.2","4","0.4","3.7","4.5","3.3","1.8","3","J"
"Bruce Chen","    769","-0.1","1.7","0.5","-0.2","0.6","1.6","-0.7","0","1.2","1.4","1.7","1.3","A"
"Ken Forsch","1004234","4.1","0.8","2.6","1","0.7","0.5","1.5","2.4","1.8","2.4","3.1","2.4","C"
"Ted Lilly","    833","0.8","1.3","3.1","3","0.5","2.1","3.8","2.8","3.7","2.5","2.2","0.8","J"
"Cole Hamels","   4972","2.6","3.9","4.7","3.7","3.6","5.1","4.6","4.6","4.5","4.5","3.3","1.8","F"
"Dan Schatzeder","1011527","0.5","1.3","2.1","-0.5","0.2","1.1","1.3","0.8","-0.4","0","0.2","0.6","A"
"Livan Hernandez","   1116","1.9","0.4","2.9","4.5","2.3","2.7","4.4","4.4","2.4","2","0.2","1","H"
"Kevin Millwood","    106","1.3","3.4","5.5","4","0.9","4.6","4.7","2.9","3.4","4.3","2.1","3.2","F"
"Edwin Jackson","   1841","0.1","1.2","1.5","3.7","3.2","3.4","2.1","2.2","0.7","0","-0.2","-0.2","E"
"Kevin Gross","1005088","0.5","1.3","3.6","1.5","0.8","2.4","1.6","2.4","0.9","3.4","3.2","3.4","C"
"Zack Greinke","   1943","1.8","2","2.1","4.2","8.6","4.9","3.2","4.8","3.5","4.5","5.4","2.3","K"
"David Cone","   1680","0.5","5.3","3.3","5","6.5","5.2","3.9","3.8","4.5","2.2","4.9","5.1","F"
"Nelson Briles","1001432","1","1.2","2.1","2.4","3.4","0.7","1.2","3.5","2.7","1.3","0.4","2.6","H"
"Mark Gubicza","1005115","2.7","2.2","3","3.8","6.2","6.3","1.6","2.1","2.1","2.3","2.7","3","G"
"Luis Tiant","1013054","2","2.8","2.5","3.7","7.4","0.5","0.5","0.9","3.6","5","6.5","4.2","K"
"Bud Black","1001007","0.3","1.1","4.3","3.6","0.1","1.1","0.6","3.4","2.4","0.8","-0.1","0.2","B"
"Ron Perranoski","1010201","0.9","1.7","0","0.5","0.4","0.2","0.3","0.5","1.2","0.8","-0.2","-0.2","A"
"Marty Pattin","1010074","0.1","0.2","4.3","3.4","4.6","1.8","1","2.3","1.4","0.3","-0.1","0.7","D"
"Bartolo Colon","    375","0.7","4.4","3.8","4.3","3.9","4.4","4.7","1.4","4.1","0.3","1","0.5","D"
"Joe Blanton","   4849","2.2","3.2","5.3","1.8","2.1","1.8","0.6","2.5","-0.4","1.1","0.8","-0.3","D"
"Ray Sadecki","1011360","1.4","1.8","0.7","1.2","3.7","1.2","-0.3","4","4.6","0.7","1","3.2","H"
"Lee Smith","1012175","0.9","2.7","2.4","2.1","2.7","1.8","2.9","1.6","1.5","2.4","2","1.2","I"
"Kyle Lohse","    739","0.3","1.2","2.8","1","1.6","1.5","3","2.8","0.7","0.5","2.2","3.3","C"
"Felix Hernandez","   4772","2.3","3.3","3.5","3.6","7","6.8","5.3","6.6","6.1","5.6","2.7","1.1","N"
"Oliver Perez","   1514","0.6","0.4","4.5","-0.8","0.1","2.7","1.6","-0.6","-1.1","0.8","0.4","0.5","B"
"Bert Blyleven","1001098","3.6","7.5","5.9","10.8","8.5","6.2","6.7","4.9","5.2","3.4","3.9","3.9","N"
"Orel Hershiser","1005741","4","5.4","3.6","5.6","4","5.6","2.5","2.3","3","1.1","2.5","3.8","F"
"Anibal Sanchez","   3284","1.9","0","0.3","0.7","4.2","3.7","3.5","5.8","3.3","1.3","0.9","0.6","H"
"Rich Gossage","1004894","0.5","-0.8","0.7","4","2","4.2","2.4","1","3.2","1.4","3.6","3.5","G"
"Dave Smith","1012117","1.9","1.1","-0.6","0.2","0.3","1.3","0.2","2.8","0.9","0.7","0.9","-1.1","A"
"Javier Vazquez","    801","0.5","2.2","5.2","6.1","4.6","6","2","3.5","4.7","4.8","4.9","5.8","K"
"Bill Lee","1007448","-0.2","0.5","1.1","0.3","5.2","3.7","3.5","-0.2","1.2","0.7","1.8","0.3","E"
"Tom Glavine","     90","0","2","2","2.9","5.4","4.6","3.3","3.6","4.3","5.3","3.6","4.8","K"
"Dennis Martinez","1008161","2.3","3.8","4.3","-0.2","2.8","1.9","0.7","0.1","0","1","2.8","2.2","B"
"Larry Gura","1005150","-0.2","0.7","1.1","1.8","0","1.1","3.1","1.3","4.1","2.7","1.9","0.1","C"
"Jim Brewer","1001406","0.3","-0.5","1.1","0.2","0.8","0.2","0.8","0.7","1.1","0.6","0.1","0.1","A"
"Eddie Guardado","    727","0.5","0.3","0.3","0.4","0","0.4","-0.5","1.4","1.2","1.4","0.2","0.8","A"
"Jason Grilli","    521","-0.2","0","0.6","1","0.4","0.5","1.3","1.5","0.3","1.3","0","-0.6","A"
"Jason Hammel","   4538","0.3","0.3","-0.2","3.5","3.2","1.1","2.6","0.6","1.8","2.3","1.3","2.4","C"
"Randy Myers","1009427","1.5","1.7","1.6","2","1.3","0.3","1.6","0.5","0.4","1.3","2","0.1","B"
"John Lackey","   1507","1.9","1.8","3.1","5.3","5.3","5","1.4","3.2","3.4","0.9","2.4","2.5","G"
"Matt Thornton","   1918","0.2","-0.9","0.9","0.9","1.8","2.3","2.2","1.4","1.3","0.1","0.6","0.4","A"
"Jimmy Key","1006885","-0.4","2.8","3.4","5.6","1.6","4.6","2.4","5.3","2.7","5.2","4","0.6","F"
"Jason Marquis","    105","1.2","0.3","0","1.8","0.7","-0.5","1.4","1.7","3.2","-0.5","1","-0.2","A"
"Frank Viola","1013435","0.9","0.1","3.5","3.9","2.9","5.4","6.3","5","5.8","2.5","3.7","2.7","L"
"Greg Swindell","     76","0.9","1.4","6.3","3.3","2.7","5.9","4.6","2","1.2","1","-0.7","1.4","D"
"Greg Maddux","    104","0.4","1.5","3.7","3.7","5.1","5.8","7","7.5","7.4","7.9","7.8","8","M"
"Don Aase","1000003","2.2","1.6","1.8","1.9","0.7","0.6","0.8","1.5","1.9","-0.4","-0.3","-0.4","B"
"Jim Bunning","1001653","6.9","6.3","4.6","2.7","5.6","7.3","6.8","6.8","0.6","3.8","4.1","0.6","O"
"Mark Gardner","1004529","2.3","0.8","1.9","-0.1","0.4","0.4","1.4","1.4","2","-0.2","2","-0.3","B"
"Sonny Siebert","1011951","2.6","5.4","3.4","2.3","2.7","2.1","3.3","4.4","2.7","1.7","1.6","1","I"
"Jarrod Washburn","     40","0.6","1","0.3","2.5","4.2","1.6","1.7","2","1.9","2","1.5","2.3","C"
"LaTroy Hawkins","    729","-0.1","1.6","1.4","1.1","-0.1","1.6","2.6","1.4","0.2","0.7","0.2","0.8","A"
"Mike Hampton","    430","-0.1","2.3","2.4","3.1","2.3","4.9","4.6","1.9","0.3","2.6","1.9","1","G"
"Armando Benitez","    865","-0.3","1.7","0.4","3.1","1.5","0.3","1","0.9","1.6","-0.2","-0.3","-0.1","A"
"Steve Trachsel","    898","1.5","0.7","1.6","1.7","1.8","2.5","2.4","2","2.1","1.8","1.5","0.1","E"
"Don McMahon","1008629","-0.7","0.2","0.9","-0.5","0.8","0.1","0.1","0.3","0.8","0.9","0.2","-0.2","A"
"Barry Zito","    944","2.1","4.8","4.5","4.4","3.1","3","2.2","1.6","1.3","2","1.8","-0.6","D"
"Mike Timlin","   1187","1.5","0.7","0.2","0.2","1.3","1.4","0.6","1.8","0.3","0.1","0.7","-0.3","A"
"Ryan Madson","   1852","1.3","0.8","0.9","0.4","1.2","1.2","1.2","1.8","0.9","0.4","1.9","0.2","A"
"Dave Stieb","1012532","1.6","4.3","2.9","4.8","5.1","5.6","4.5","0.8","2.5","3.1","2.7","4.3","F"
"Rick Aguilera","1000086","2","1.6","1.6","3.6","1.3","1.5","0.8","1","0.8","1.3","1.5","0.8","B"
"Dick Ruthven","1011330","1.4","3.4","0.4","3.9","2.1","3.4","1.6","3.2","1.6","2.2","2.3","0.7","H"
"Scott Downs","    773","1","0.4","1","0.5","1.1","1","0.8","1.1","0.6","0.2","0.5","-0.1","A"
"Trevor Hoffman","   1035","0.4","1.6","0.1","2.9","2.3","3.1","2.2","2.6","0.3","2","1.8","1.7","E"
"Wilson Alvarez","   1193","-0.2","-0.6","2.7","2.8","1.5","4.2","3.8","1.3","1.8","0","2.5","2.2","E"
"Gene Garber","1004493","1","-0.1","0.4","1.8","2.3","1.2","1.1","0.9","0.7","2.2","-0.1","0.9","A"
"Bruce Hurst","1006222","0","0.4","2.6","1.8","3.3","4.2","3.5","3.8","5.2","4","3.9","2.7","J"
"Scott Feldman","   6283","0.3","-0.4","0.6","2.9","1.2","0.2","2.3","2.2","1.2","0.8","0.2","0.9","A"
"Larry Dierker","1003288","1.8","2.4","2.1","1.9","7.3","3.6","3.3","3.3","2.9","0.9","2.3","-0.5","G"
"Dave Righetti","1010958","3.5","2.9","5.4","2.6","2.7","3","1.2","1.4","1.2","-0.4","0.6","0.3","D"
"Bob Stanley","1012409","1.7","2.3","4","2.5","0.3","2","2.3","1.1","0.7","0.8","1.9","0.8","B"
"Ray Burris","1001729","1.4","0.3","2.4","2.8","2.1","1.8","0.1","0.6","1.2","-0.5","1.5","1.9","B"
"Mike Moore","1009122","0.4","2.4","4.2","5.9","3.7","3.1","4.6","4.4","1.3","3.4","1.4","0.3","F"
"Bob Walk","1013507","2","-0.3","0.8","1.3","0.2","1.1","3.2","1.5","0.8","1.1","0.6","0.4","A"
"Brett Tomko","   1056","1.5","3.6","1.4","0.5","-0.5","1.3","1","2.7","2.3","1","1.2","0.5","B"
"Jack Billingham","1000970","0.3","-0.2","3.7","4.1","2.5","3.7","3","0.5","0.7","1","2","1.7","D"
"Bill Campbell","1001874","0.6","2.2","0.7","1.7","1.7","1.8","0.2","0.2","0.2","0.9","2","0.6","B"
"Joaquin Benoit","   1437","0.7","-0.1","1","1.5","1.2","1.8","-0.2","1.7","1.2","0.1","1.4","1.2","A"
"Ramon Martinez","1008193","0.4","0.8","4.9","2.9","1.1","1.9","1.9","2.2","2","1.3","1.9","0.9","D"
"Bob Welch","1013750","2.4","1","2.9","1.9","3.3","3.7","2.8","2.1","5.4","4.5","3","3","J"
"Bob Wickman","    413","0.7","0.9","1.6","0.8","0.6","1.1","1","0.8","1.8","2","0.7","-0.3","A"
"Norm Charlton","1002160","0.6","1.4","2.4","1.9","1.5","0.8","1.5","1.2","-0.2","0","0.3","0.9","B"
"Josh Beckett","    510","1.9","4","3.3","4.2","1","5.7","4.3","4.3","1","3.8","2","0.1","F"
"Arthur Rhodes","   1097","0.1","2","-0.4","0.5","0.2","1","1.9","1","-0.4","1.6","2.5","2.9","C"
"Mark Langston","1007323","4.4","-0.7","4.1","6.4","4","4.8","4.6","3","5.4","5.6","1.6","4.1","F"
"Gene Nelson","1009501","-0.3","0.9","-0.4","0.6","0","1.4","1.8","0.5","1","0.6","-1.6","-0.1","A"
"Darold Knowles","1007058","0.9","0.6","0.9","0.2","0.8","0.6","0","-0.2","-1.1","1.7","0.4","-0.2","A"
"Chris Short","1011931","0.4","0.7","1.1","3.4","5.6","6.5","3.3","3.4","2.1","3.9","0.6","0.2","G"
"Bobby Witt","1014170","0.8","1.7","2.4","2.5","5","0.9","1.3","3.2","0.9","3.6","2.5","1.5","I"
"Dave McNally","1008655","1.2","1.4","2.3","3","0.7","4.5","4.7","4.9","1.8","3","3.2","2.9","J"
"Brad Penny","    535","1.2","4.6","1","3.1","3","3.5","3.6","4.4","0","1.8","0.9","0.3","H"
"David Weathers","    902","0.9","1","0.4","0.4","1.9","0.1","0.5","1.1","0.5","0.7","-0.3","0.7","A"
"Darryl Kile","   1163","0","0.8","2.4","0.8","1.7","3.7","4","3.2","0.9","4.3","4.5","0.8","C"
"Ken Holtzman","1005989","3","0.2","2.3","5.1","5.8","3.6","2.7","5","5.5","3.6","1.7","0.2","G"
"Rick Sutcliffe","1012734","2.7","-0.4","-0.3","3.5","3","6","2.4","1.5","3.4","3.2","3.7","1.3","G"
"Todd Stottlemyre","     75","-0.2","1.2","2.7","2.6","1.4","3","2","4.1","2.3","3.3","4.1","1.4","J"
"Mike Mussina","    837","1.7","5.3","2.8","3.4","5.1","5.3","5.4","5.1","6","6.4","6.9","4.5","M"
"Alan Embree","   1030","-0.6","0.9","0","0.5","0.6","-0.3","1.6","0.8","0.4","-0.3","1.1","1.1","A"
"Rod Beck","   1730","0.4","2.7","1.4","-0.3","0","0.4","1.1","1.1","0.1","0.9","-0.6","0.4","A"
"Joe Gibbon","1004658","1.3","4.2","0.5","2.5","1.7","1.3","1.5","1.1","-0.5","-0.2","0","-0.1","B"
"Charles Nagy","    397","0","3.2","7","0.6","3.5","3.2","5.4","2.9","1.3","3.2","0","0.5","D"
"Tom Candiotti","1001911","0.6","0.2","4.3","1.3","4.5","4.4","2.3","5.8","3.5","4.2","2.5","2.7","J"
"Jesse Orosco","    667","-0.3","1.3","2.2","1","0.9","0.4","1.6","-0.4","1.1","-0.5","0.5","0.3","A"
"Francisco Rodriguez","   1642","0.6","3.7","1.5","2.4","1.9","1.5","0.7","1.5","1.3","0.2","0.3","-0.6","B"
"Dock Ellis","1003747","0.7","4.2","3.4","3.7","3.9","4.4","3","1.9","1.2","3.1","0.7","0.6","D"
"Mike Flanagan","1004133","0.6","4.4","4.5","6","2.9","1.5","2.7","1.8","2.4","0.3","2.6","3.1","D"
"Rick Honeycutt","1005992","1.5","2.2","2.5","1.5","0.9","2.8","1.9","1.5","3.1","1.8","0.4","0.6","E"
"Tim Belcher","1000789","0.8","4.1","3.3","1.5","4.1","3.1","3","1.2","1.7","3.8","1.9","1.9","I"
"Steve Carlton","1001964","0.9","4.4","4","4.9","3.6","3.1","11.1","4.5","5.3","3.5","5.1","5.1","M"
"Jim Kaat","1006660","-0.3","3.8","5.4","1.9","4.7","4.3","6.4","6.4","3.9","3.5","3.2","5.9","L"
